subject_id,recording_number,epoch_index_original,drug,bp_delta_AF3,bp_delta_F7,bp_delta_F8,bp_delta_Fp1,bp_delta_Fp2,bp_delta_Fpz,bp_delta_O1,bp_delta_O2,bp_delta_P7,bp_delta_P8,bp_delta_T7,bp_delta_T8,bp_theta_AF3,bp_theta_F7,bp_theta_F8,bp_theta_Fp1,bp_theta_Fp2,bp_theta_Fpz,bp_theta_O1,bp_theta_O2,bp_theta_P7,bp_theta_P8,bp_theta_T7,bp_theta_T8,bp_alpha_AF3,bp_alpha_F7,bp_alpha_F8,bp_alpha_Fp1,bp_alpha_Fp2,bp_alpha_Fpz,bp_alpha_O1,bp_alpha_O2,bp_alpha_P7,bp_alpha_P8,bp_alpha_T7,bp_alpha_T8,bp_beta_AF3,bp_beta_F7,bp_beta_F8,bp_beta_Fp1,bp_beta_Fp2,bp_beta_Fpz,bp_beta_O1,bp_beta_O2,bp_beta_P7,bp_beta_P8,bp_beta_T7,bp_beta_T8
210,3,0,awake,-26.150774916737756,-26.41109205776684,-26.37846265618148,-25.983647303943673,-26.33116845574537,-26.276831510793844,-25.5820739356536,-25.087534022262016,-26.076022837501483,-25.34878220638137,-26.645023902487058,-26.718708206483328,-26.392163459945955,-26.127800487315387,-26.60232805275875,-26.220139216740385,-26.426152513835824,-26.346532356542763,-25.656750720407718,-25.40849495741529,-26.01790436083268,-25.442424606242707,-26.284727972877654,-26.777134451382693,-25.150579601536784,-25.261405035306307,-25.71509489977886,-25.097213154262384,-25.212821755553293,-25.15680883714527,-24.698335593162863,-23.897595854897933,-25.20265561830058,-24.0053389904137,-25.789847879711484,-26.563586191249104,-28.78238745133547,-28.66495763187735,-28.89046178381351,-28.707395392850092,-28.85954109127619,-28.844899575197733,-27.6031862334528,-27.506469169327183,-28.327579735028323,-28.061760897830947,-28.337231588969967,-27.244931968489144
210,3,1,awake,-26.155429367594085,-26.280339835106314,-26.212991295806,-26.166873621457338,-26.177184356455143,-26.18239698192776,-25.382987443892606,-25.180589956745532,-25.769082671693155,-25.239141914548807,-26.670080723811754,-26.966993797309325,-25.285464194082294,-25.449258814746493,-25.82850997905312,-25.200774338598077,-25.274540564847253,-25.16277846256835,-24.599908561558497,-24.364708130972453,-24.45218676697965,-24.168311599943276,-25.459054686526024,-26.35395943527002,-25.219391237223864,-25.493709876144596,-25.7112061393505,-25.219860012842183,-25.231799768249967,-25.213967777716125,-24.070886423859353,-23.730377890488178,-24.81750101981591,-24.010751285303936,-26.263301303301585,-26.523207148002367,-28.551789934356357,-28.82952428372529,-28.668793896203983,-28.566190425109177,-28.48889457456674,-28.497933643920447,-27.170597703962173,-27.17868102212901,-28.071047530476935,-27.731736560325466,-28.82843482226407,-27.558417904914858
210,3,2,awake,-26.381096475251454,-26.43009959286141,-26.399765146288207,-26.028501528889244,-26.177426812432767,-26.4249194341092,-26.010287166984522,-25.84085988143733,-26.466499632095164,-25.976647574790636,-26.702079487400557,-26.650625563284933,-26.10655549890182,-26.209660129263124,-26.428037650525745,-26.091832733085905,-26.115410545755935,-26.070226318387306,-25.1143075753821,-25.18084209201306,-25.18777911001453,-25.276401676017006,-26.353396434087216,-26.76314658459689,-25.167806452299136,-25.188390588313954,-25.460086531570884,-25.033955920937327,-25.07945398782115,-25.047377261661502,-24.501014195808025,-23.961398274791193,-25.29315829743513,-24.126403214440344,-25.753874043324885,-26.366604139633708,-29.10268265750555,-29.103723523335987,-28.73474251769673,-29.004064460861983,-28.81572722928652,-28.976075914377272,-27.400820923563714,-27.65346159545604,-27.945465695181973,-28.026394034652654,-28.991228312849582,-27.886852616017126
210,3,3,awake,-26.36241667554682,-26.749048874255216,-26.38783738123464,-26.39608409065653,-26.111095795579047,-26.475530804520837,-25.49681117768976,-25.178531852145408,-26.464644274504238,-25.43883504181103,-26.94468428037501,-26.730003232901492,-25.674637642074583,-26.08015135770278,-25.806391563994353,-25.66911519340627,-25.57628899625525,-25.604265598606663,-24.581613834327893,-24.924452463089857,-24.716049171380757,-25.066698513619382,-26.941750542942074,-26.278848324598986,-25.409646901409833,-25.60093569938889,-25.823491200023813,-25.370251646338613,-25.45377436412091,-25.3898069752794,-24.78836069751705,-24.468102975309254,-25.300678317613386,-24.71604159033637,-26.24993268173336,-27.100286211527205,-29.069096911932938,-29.282951822828508,-28.88418810361005,-28.999710306012638,-28.767997328902165,-28.86881970615954,-27.632154694369042,-27.741100151595074,-27.88387119154989,-28.22684765817388,-29.122803408488164,-27.793761581488226
210,3,4,awake,-26.482680664629434,-26.017540622576092,-26.004740065811948,-26.420888079586717,-26.13542922549497,-26.281335357447855,-25.971703771435877,-25.914066575821103,-26.72337493827408,-25.798445170914,-26.314398776716324,-26.279734177467336,-25.56131161836642,-25.876892756363834,-26.01254581070997,-25.475762236847846,-25.484756464254485,-25.40577417600395,-25.269666603207195,-25.73898778590815,-25.08835647533319,-25.456031354082903,-26.202659812624056,-26.580156847417854,-25.737456662662204,-25.622832862151583,-25.72567205821946,-25.60372301600203,-25.64689995509248,-25.63370289944863,-25.043573467136078,-24.702373745564763,-25.559380877976984,-24.95833858961855,-26.268772987540757,-26.107607001936007,-28.77528637104324,-28.829924065381164,-28.71930990717317,-28.769816640731776,-28.694172070246186,-28.755221425055538,-27.770725697995903,-27.876386193764535,-27.812323180981316,-27.832792408193736,-28.494801835737682,-27.686019255905652
210,3,5,awake,-26.738227452019434,-27.441618770843824,-26.744889668634325,-26.787405425404206,-26.349695345118217,-26.23813685072348,-26.153114819092117,-26.69540337819744,-26.80547471240706,-27.150728816205913,-27.48899167619507,-27.345195343357837,-26.006389565303014,-26.361457149405787,-26.347453763622735,-25.95225568443146,-25.926166069420102,-25.91205855675016,-25.155598724780386,-25.54414851879847,-25.497126694980235,-25.740771303610465,-27.02847945417622,-26.871054158960774,-26.456359207404084,-26.551201274307587,-26.344699303987447,-26.281088236121427,-26.192290739325944,-26.203657333837302,-25.253674420067426,-25.752698812495474,-25.4518865992142,-25.98836970597798,-26.991205961184285,-26.372522480582177,-29.072418013069072,-29.183520025579906,-29.31829969450497,-29.037680323237947,-29.058732855148456,-29.092419384413322,-28.027520636537627,-28.547825797301726,-28.281098499099148,-28.629403958156495,-29.467781503154146,-27.955209654094578
210,3,6,awake,-26.046372600591877,-25.88205334657356,-25.798044704353266,-26.047336465159514,-26.043120063713598,-25.935151804854232,-26.054258203270702,-25.691126362548417,-26.782641418642747,-26.28910844430322,-26.802242652802537,-26.79824252145005,-26.400548874785102,-26.598940257222036,-26.739425082561773,-26.11121943415408,-26.233579648098036,-26.111317918025104,-25.81474314232838,-25.497625713748615,-26.2070388229156,-25.84907794863822,-27.056444249948527,-26.85507980832258,-25.367103519814478,-25.498393193992655,-25.90260921507314,-25.339971337021215,-25.4441614611819,-25.38272884390335,-24.494823045897522,-23.84143169910185,-25.227435508938907,-24.128522870198516,-26.23668974481251,-27.188703499033394,-28.60853668346645,-28.58750133524304,-28.474293939635142,-28.512177818778714,-28.56614903812596,-28.561878446370912,-27.47939055134785,-27.816163950508486,-28.11598664391684,-28.009977459171175,-28.568765613022858,-27.58919002378103
210,3,7,awake,-26.736710948649947,-26.778023090700145,-27.162155641552513,-26.255285916957792,-26.772567406944262,-26.66292038939488,-26.504759223616333,-25.80161971836655,-26.974440649989642,-26.426986991590237,-27.10259387738861,-26.99472854259496,-27.054899922514927,-26.780160455916988,-26.73482888019837,-26.818737411893245,-26.75814927998284,-26.801658987122547,-25.75926774815304,-26.101693359066775,-25.91865583524217,-26.658451939696413,-26.703349895815354,-27.182021393162636,-25.412089374949463,-25.57252237212346,-25.28193115619051,-25.372267523469507,-25.293953025423725,-25.31738187325147,-24.30238524609032,-24.098955099523124,-25.418912293842602,-24.625988535746128,-26.4587825045064,-25.906483925556376,-29.090777046520135,-29.04346471836787,-29.13206425197733,-28.925950130929262,-28.90474154272827,-28.973924272058742,-28.00060090346224,-27.907568505315286,-28.692629596863604,-28.148600325462326,-29.313891841565958,-28.016967510789783
210,3,8,awake,-26.788369706074242,-26.627446841754217,-26.152902281431178,-26.243576326718884,-26.43829562405194,-26.56630260516458,-26.0004366306082,-26.097301885464322,-26.50858541291242,-26.62700828174809,-27.06953217223013,-26.842929001983745,-26.834152300935532,-27.00042559088042,-26.829063961942868,-26.78827959495108,-26.60052806212499,-26.649950345517563,-25.326631605059383,-25.55863020269682,-25.868376768523238,-25.963889318019476,-27.077376618565232,-27.11367836392155,-24.838409943866754,-24.903281146720158,-25.50356878632163,-24.81999254589574,-25.026783321654698,-24.912454088060333,-24.58213601095317,-23.544347494066454,-24.968851002655942,-23.56768025798146,-25.368785254456878,-26.42084823889061,-29.097346185085875,-28.87391370304706,-28.992591984346998,-28.82500090560678,-28.78073097279114,-28.884924746075196,-27.648560947376264,-27.70416496610159,-28.258437174230572,-28.128484501466385,-29.159812387821184,-28.063028413530258
210,3,9,awake,-26.558390041790982,-26.633780829129417,-26.94231569438298,-26.203185577752333,-26.362126463475278,-26.16210510978423,-26.094638581114364,-26.4535491406909,-26.618763750428908,-26.989355207623284,-27.03313496629462,-27.05947354290885,-26.401127822630173,-26.591779723514282,-26.606447239409093,-26.367847102056363,-26.28109184776463,-26.204141759731424,-25.60230197687951,-25.76480633451314,-25.823216873128704,-26.00338170208364,-26.92283385872915,-26.965449019550736,-25.403539466772852,-25.495248751002265,-25.48856349758153,-25.32878829939071,-25.325752785249893,-25.288110948933962,-25.069718277840742,-24.19137211941159,-25.70200007287284,-24.28993755655845,-26.07508074070818,-25.865317633774875,-28.52951044118579,-28.77522025850958,-28.789611213724683,-28.472913911678265,-28.619570903354205,-28.600909982712775,-27.62063513027576,-27.799572243518305,-28.329849289601732,-28.130337033337806,-29.21736210882476,-28.216664560064597
210,3,10,awake,-26.372926886569932,-26.819155414219388,-26.432581780750176,-26.486756271065406,-26.313549416738606,-26.160973828239015,-26.146886291229972,-25.57922629288793,-26.721448102908127,-26.336075815348433,-27.305328841772347,-27.17043462044435,-26.143896171065954,-26.394305611093788,-26.509127020027986,-26.098627355978238,-26.108956828099124,-26.07158666357065,-25.307110153687443,-25.16152097740684,-25.543738775475205,-25.27393118012532,-26.700810054936973,-27.29618261559799,-24.864912767909235,-25.42566789532592,-25.565990867935426,-24.957331672298118,-24.938291807482567,-24.88607927221492,-24.176759073500275,-23.89148519506184,-24.732863166120826,-23.904322091484598,-26.881875322835736,-26.417823734619287,-28.695474525210013,-28.772205586511557,-29.08793674589458,-28.70604844623589,-28.722050947257987,-28.73472273230541,-27.382544116414035,-27.76605459189951,-27.8160269173333,-27.823622452686145,-28.82485106896455,-27.717357550442337
