model,fold,n_iter,best_score_inner,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,rf__max_depth,rf__max_features,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,pca_n_components
A_bandpower_epoch,1,10,0.7128147235905856,10.0,0.2,1.0,10.0,344.0,,,,,,
A_bandpower_epoch,2,10,0.6768867451195038,,0.2,2.0,10.0,734.0,,,,,,
A_bandpower_epoch,3,10,0.658068783068783,20.0,sqrt,4.0,9.0,371.0,,,,,,
A_bandpower_epoch,4,10,0.7146802590768109,10.0,0.1,1.0,3.0,522.0,,,,,,
A_bandpower_epoch,5,10,0.7763300492610837,20.0,0.2,2.0,8.0,318.0,,,,,,
B_wpli_edges_epoch_sliding,1,10,0.5964666575442438,,,,,,10.0,0.05,2.0,9.0,519.0,100.0
B_wpli_edges_epoch_sliding,2,10,0.6194259715380406,,,,,,10.0,0.2,4.0,6.0,324.0,100.0
B_wpli_edges_epoch_sliding,3,10,0.5205026455026456,,,,,,20.0,sqrt,2.0,5.0,456.0,100.0
B_wpli_edges_epoch_sliding,4,10,0.6151493796752416,,,,,,,0.2,3.0,5.0,295.0,100.0
B_wpli_edges_epoch_sliding,5,10,0.6093340631271665,,,,,,,0.05,4.0,3.0,631.0,100.0
C_AplusB_epoch_sliding,1,10,0.6463715562853494,,,,,,20.0,0.05,2.0,5.0,697.0,100.0
C_AplusB_epoch_sliding,2,10,0.6980496259806604,,,,,,,0.05,4.0,5.0,302.0,100.0
C_AplusB_epoch_sliding,3,10,0.6531084656084656,,,,,,10.0,sqrt,1.0,9.0,365.0,100.0
C_AplusB_epoch_sliding,4,10,0.6672331691297209,,,,,,,0.2,3.0,5.0,295.0,100.0
C_AplusB_epoch_sliding,5,10,0.7333244389709908,,,,,,20.0,sqrt,3.0,4.0,454.0,100.0
