estimator,model,subset,feat_type,fold,best_score_inner,rf__max_depth,rf__max_features,rf__n_estimators,svc__C,svc__gamma,xgb__learning_rate,xgb__max_depth,xgb__n_estimators
rf,bis_quatro__A,bis_quatro,A,1,0.5776862026862027,10.0,sqrt,200.0,,,,,
rf,bis_quatro__A,bis_quatro,A,2,0.644403132633422,10.0,sqrt,200.0,,,,,
rf,bis_quatro__A,bis_quatro,A,3,0.5801691533398851,10.0,sqrt,200.0,,,,,
rf,bis_quatro__A,bis_quatro,A,4,0.6413553044296095,10.0,sqrt,200.0,,,,,
rf,bis_quatro__A,bis_quatro,A,5,0.5982854040142752,10.0,sqrt,200.0,,,,,
rf,bis_quatro__A,bis_quatro,A,6,0.5254990487548628,10.0,sqrt,200.0,,,,,
rf,bis_quatro__A,bis_quatro,A,7,0.581345310641964,10.0,sqrt,200.0,,,,,
rf,bis_quatro__A,bis_quatro,A,8,0.5429507783449927,10.0,sqrt,200.0,,,,,
rf,bis_quatro__A,bis_quatro,A,9,0.5676088737631563,10.0,sqrt,200.0,,,,,
rf,bis_quatro__A,bis_quatro,A,10,0.6247332739108122,10.0,sqrt,200.0,,,,,
rf,bis_quatro__B,bis_quatro,B,1,0.4942918192918193,10.0,sqrt,200.0,,,,,
rf,bis_quatro__B,bis_quatro,B,2,0.41248319651609505,10.0,sqrt,200.0,,,,,
rf,bis_quatro__B,bis_quatro,B,3,0.4696313171922928,10.0,sqrt,200.0,,,,,
rf,bis_quatro__B,bis_quatro,B,4,0.47584730766806765,10.0,sqrt,200.0,,,,,
rf,bis_quatro__B,bis_quatro,B,5,0.5073938792032949,10.0,sqrt,200.0,,,,,
rf,bis_quatro__B,bis_quatro,B,6,0.48966408268733846,10.0,sqrt,200.0,,,,,
rf,bis_quatro__B,bis_quatro,B,7,0.4765457646909717,10.0,sqrt,200.0,,,,,
rf,bis_quatro__B,bis_quatro,B,8,0.5016611295681063,10.0,sqrt,200.0,,,,,
rf,bis_quatro__B,bis_quatro,B,9,0.46991059611592795,10.0,sqrt,200.0,,,,,
rf,bis_quatro__B,bis_quatro,B,10,0.4482056199299535,10.0,sqrt,200.0,,,,,
rf,bis_quatro__C,bis_quatro,C,1,0.5533730158730159,10.0,sqrt,200.0,,,,,
rf,bis_quatro__C,bis_quatro,C,2,0.6360690894156579,10.0,sqrt,200.0,,,,,
rf,bis_quatro__C,bis_quatro,C,3,0.576327466571369,10.0,sqrt,200.0,,,,,
rf,bis_quatro__C,bis_quatro,C,4,0.6291705710310361,10.0,sqrt,200.0,,,,,
rf,bis_quatro__C,bis_quatro,C,5,0.6110626311987627,10.0,sqrt,200.0,,,,,
rf,bis_quatro__C,bis_quatro,C,6,0.5716498475999328,10.0,sqrt,200.0,,,,,
rf,bis_quatro__C,bis_quatro,C,7,0.5870243860884814,10.0,sqrt,200.0,,,,,
rf,bis_quatro__C,bis_quatro,C,8,0.5153575705192268,10.0,sqrt,200.0,,,,,
rf,bis_quatro__C,bis_quatro,C,9,0.5607100090934465,10.0,sqrt,200.0,,,,,
rf,bis_quatro__C,bis_quatro,C,10,0.6424182265078464,10.0,sqrt,200.0,,,,,
rf,both_lateral__A,both_lateral,A,1,0.6903388278388279,10.0,sqrt,200.0,,,,,
rf,both_lateral__A,both_lateral,A,2,0.7609150791226797,10.0,sqrt,200.0,,,,,
rf,both_lateral__A,both_lateral,A,3,0.7383260371065249,10.0,sqrt,200.0,,,,,
rf,both_lateral__A,both_lateral,A,4,0.7423097007612038,10.0,sqrt,200.0,,,,,
rf,both_lateral__A,both_lateral,A,5,0.7519009319916865,10.0,sqrt,200.0,,,,,
rf,both_lateral__A,both_lateral,A,6,0.6380799669228484,10.0,sqrt,200.0,,,,,
rf,both_lateral__A,both_lateral,A,7,0.6778402476076894,10.0,sqrt,200.0,,,,,
rf,both_lateral__A,both_lateral,A,8,0.6392670322052058,10.0,sqrt,200.0,,,,,
rf,both_lateral__A,both_lateral,A,9,0.6554349098308259,10.0,sqrt,200.0,,,,,
rf,both_lateral__A,both_lateral,A,10,0.7214726881488085,10.0,sqrt,200.0,,,,,
rf,both_lateral__B,both_lateral,B,1,0.45535714285714285,10.0,sqrt,200.0,,,,,
rf,both_lateral__B,both_lateral,B,2,0.43742593827676074,10.0,sqrt,200.0,,,,,
rf,both_lateral__B,both_lateral,B,3,0.45115995115995117,10.0,sqrt,200.0,,,,,
rf,both_lateral__B,both_lateral,B,4,0.40437423860566235,10.0,sqrt,200.0,,,,,
rf,both_lateral__B,both_lateral,B,5,0.4979238477536832,10.0,sqrt,200.0,,,,,
rf,both_lateral__B,both_lateral,B,6,0.4423679459130396,10.0,sqrt,200.0,,,,,
rf,both_lateral__B,both_lateral,B,7,0.46829638817727304,10.0,sqrt,200.0,,,,,
rf,both_lateral__B,both_lateral,B,8,0.4530517065968002,10.0,sqrt,200.0,,,,,
rf,both_lateral__B,both_lateral,B,9,0.4956783620992356,10.0,sqrt,200.0,,,,,
