estimator,model,fold,n_iter,best_score_inner,rf__max_depth,rf__max_features,rf__n_estimators,pca_n_components,svc__C,svc__gamma,xgb__learning_rate,xgb__max_depth,xgb__n_estimators
rf,A_bandpower_epoch,1,1,0.6872863247863249,10.0,sqrt,200.0,,,,,,
rf,A_bandpower_epoch,2,1,0.7414209600823328,10.0,sqrt,200.0,,,,,,
rf,A_bandpower_epoch,3,1,0.6928437416242295,10.0,sqrt,200.0,,,,,,
rf,A_bandpower_epoch,4,1,0.7258798584663587,10.0,sqrt,200.0,,,,,,
rf,A_bandpower_epoch,5,1,0.7136911427892709,10.0,sqrt,200.0,,,,,,
rf,A_bandpower_epoch,6,1,0.6679112152736657,10.0,sqrt,200.0,,,,,,
rf,A_bandpower_epoch,7,1,0.7390748786097623,10.0,sqrt,200.0,,,,,,
rf,A_bandpower_epoch,8,1,0.6924907039768072,10.0,sqrt,200.0,,,,,,
rf,A_bandpower_epoch,9,1,0.6880430183039371,10.0,sqrt,200.0,,,,,,
rf,A_bandpower_epoch,10,1,0.7373547074341175,10.0,sqrt,200.0,,,,,,
rf,B_wpli_edges_epoch_sliding,1,1,0.421001221001221,10.0,sqrt,200.0,100.0,,,,,
rf,B_wpli_edges_epoch_sliding,2,1,0.39359074781649933,10.0,sqrt,200.0,100.0,,,,,
rf,B_wpli_edges_epoch_sliding,3,1,0.49288990142648686,10.0,sqrt,200.0,100.0,,,,,
rf,B_wpli_edges_epoch_sliding,4,1,0.46502174324068823,10.0,sqrt,200.0,100.0,,,,,
rf,B_wpli_edges_epoch_sliding,5,1,0.4679805761768326,10.0,sqrt,200.0,100.0,,,,,
rf,B_wpli_edges_epoch_sliding,6,1,0.5092269393176937,10.0,sqrt,200.0,100.0,,,,,
rf,B_wpli_edges_epoch_sliding,7,1,0.5218656524669004,10.0,sqrt,200.0,100.0,,,,,
rf,B_wpli_edges_epoch_sliding,8,1,0.48094427788131705,10.0,sqrt,200.0,100.0,,,,,
rf,B_wpli_edges_epoch_sliding,9,1,0.5395407359389208,10.0,sqrt,200.0,100.0,,,,,
rf,B_wpli_edges_epoch_sliding,10,1,0.4809217693505839,10.0,sqrt,200.0,100.0,,,,,
rf,C_AplusB_epoch_sliding,1,1,0.634508547008547,10.0,sqrt,200.0,100.0,,,,,
rf,C_AplusB_epoch_sliding,2,1,0.6490611864973748,10.0,sqrt,200.0,100.0,,,,,
rf,C_AplusB_epoch_sliding,3,1,0.6481580749873433,10.0,sqrt,200.0,100.0,,,,,
rf,C_AplusB_epoch_sliding,4,1,0.5869627473427813,10.0,sqrt,200.0,100.0,,,,,
rf,C_AplusB_epoch_sliding,5,1,0.6795716730487008,10.0,sqrt,200.0,100.0,,,,,
rf,C_AplusB_epoch_sliding,6,1,0.6753355675647225,10.0,sqrt,200.0,100.0,,,,,
rf,C_AplusB_epoch_sliding,7,1,0.6706956936679002,10.0,sqrt,200.0,100.0,,,,,
rf,C_AplusB_epoch_sliding,8,1,0.6125268976942261,10.0,sqrt,200.0,100.0,,,,,
rf,C_AplusB_epoch_sliding,9,1,0.6158356517119988,10.0,sqrt,200.0,100.0,,,,,
rf,C_AplusB_epoch_sliding,10,1,0.6008899873051886,10.0,sqrt,200.0,100.0,,,,,
svm,A_bandpower_epoch,1,2,0.6573717948717949,,,,,1.0,scale,,,
svm,A_bandpower_epoch,2,2,0.7471123286494811,,,,,1.0,scale,,,
svm,A_bandpower_epoch,3,2,0.6823535543047737,,,,,1.0,scale,,,
svm,A_bandpower_epoch,4,2,0.7210706511614055,,,,,10.0,scale,,,
svm,A_bandpower_epoch,5,2,0.7692647051694129,,,,,10.0,scale,,,
svm,A_bandpower_epoch,6,2,0.6568624701069398,,,,,10.0,scale,,,
svm,A_bandpower_epoch,7,2,0.7286830362553561,,,,,1.0,scale,,,
svm,A_bandpower_epoch,8,2,0.6787605002295871,,,,,10.0,scale,,,
svm,A_bandpower_epoch,9,2,0.6986017700708569,,,,,10.0,scale,,,
svm,A_bandpower_epoch,10,2,0.6996214065130685,,,,,1.0,scale,,,
svm,B_wpli_edges_epoch_sliding,1,2,0.46236263736263733,,,,100.0,10.0,scale,,,
svm,B_wpli_edges_epoch_sliding,2,2,0.5113396246408157,,,,100.0,10.0,scale,,,
svm,B_wpli_edges_epoch_sliding,3,2,0.5048393341076268,,,,100.0,10.0,scale,,,
svm,B_wpli_edges_epoch_sliding,4,2,0.5016590518575771,,,,100.0,10.0,scale,,,
svm,B_wpli_edges_epoch_sliding,5,2,0.5302396916123518,,,,100.0,1.0,scale,,,
svm,B_wpli_edges_epoch_sliding,6,2,0.5168204518743372,,,,100.0,1.0,scale,,,
svm,B_wpli_edges_epoch_sliding,7,2,0.5271916902659954,,,,100.0,1.0,scale,,,
svm,B_wpli_edges_epoch_sliding,8,2,0.5364030467547201,,,,100.0,10.0,scale,,,
svm,B_wpli_edges_epoch_sliding,9,2,0.5490730987044089,,,,100.0,10.0,scale,,,
svm,B_wpli_edges_epoch_sliding,10,2,0.5204872646733113,,,,100.0,1.0,scale,,,
svm,C_AplusB_epoch_sliding,1,2,0.48728632478632483,,,,100.0,10.0,scale,,,
svm,C_AplusB_epoch_sliding,2,2,0.5252559566229447,,,,100.0,10.0,scale,,,
svm,C_AplusB_epoch_sliding,3,2,0.544938801036362,,,,100.0,10.0,scale,,,
svm,C_AplusB_epoch_sliding,4,2,0.5419714841155567,,,,100.0,10.0,scale,,,
svm,C_AplusB_epoch_sliding,5,2,0.5865399332500864,,,,100.0,10.0,scale,,,
svm,C_AplusB_epoch_sliding,6,2,0.5761091338232575,,,,100.0,10.0,scale,,,
svm,C_AplusB_epoch_sliding,7,2,0.5741974669938368,,,,100.0,10.0,scale,,,
svm,C_AplusB_epoch_sliding,8,2,0.5527509926262054,,,,100.0,1.0,scale,,,
svm,C_AplusB_epoch_sliding,9,2,0.5925483258154841,,,,100.0,1.0,scale,,,
svm,C_AplusB_epoch_sliding,10,2,0.5440289369671105,,,,100.0,1.0,scale,,,
xgb,A_bandpower_epoch,1,1,0.7037698412698413,,,,,,,0.1,3.0,200.0
xgb,A_bandpower_epoch,2,1,0.7121453261555359,,,,,,,0.1,3.0,200.0
xgb,A_bandpower_epoch,3,1,0.7005717859376396,,,,,,,0.1,3.0,200.0
xgb,A_bandpower_epoch,4,1,0.753185822811461,,,,,,,0.1,3.0,200.0
xgb,A_bandpower_epoch,5,1,0.7809551166045777,,,,,,,0.1,3.0,200.0
xgb,A_bandpower_epoch,6,1,0.629028247859785,,,,,,,0.1,3.0,200.0
xgb,A_bandpower_epoch,7,1,0.6822299305282855,,,,,,,0.1,3.0,200.0
xgb,A_bandpower_epoch,8,1,0.6630810577208762,,,,,,,0.1,3.0,200.0
xgb,A_bandpower_epoch,9,1,0.6788617886178862,,,,,,,0.1,3.0,200.0
xgb,A_bandpower_epoch,10,1,0.7537026533056029,,,,,,,0.1,3.0,200.0
xgb,B_wpli_edges_epoch_sliding,1,1,0.454563492063492,,,,100.0,,,0.1,3.0,200.0
xgb,B_wpli_edges_epoch_sliding,2,1,0.4713249975586901,,,,100.0,,,0.1,3.0,200.0
xgb,B_wpli_edges_epoch_sliding,3,1,0.5077057089252212,,,,100.0,,,0.1,3.0,200.0
xgb,B_wpli_edges_epoch_sliding,4,1,0.45070060399045087,,,,100.0,,,0.1,3.0,200.0
xgb,B_wpli_edges_epoch_sliding,5,1,0.5618089448208563,,,,100.0,,,0.1,3.0,200.0
xgb,B_wpli_edges_epoch_sliding,6,1,0.5839194208451157,,,,100.0,,,0.1,3.0,200.0
xgb,B_wpli_edges_epoch_sliding,7,1,0.5026232826856764,,,,100.0,,,0.1,3.0,200.0
xgb,B_wpli_edges_epoch_sliding,8,1,0.4599595746788033,,,,100.0,,,0.1,3.0,200.0
