estimator,model,subset,feat_type,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,best_score_inner,tn,fp,fn,tp
rf,bis_quatro__A,bis_quatro,A,1,32,1,0.53125,0.5392156862745098,0.7294117647058824,0.5776862026862027,10.0,5.0,10.0,7.0
rf,bis_quatro__A,bis_quatro,A,2,30,1,0.4,0.4107142857142857,0.4732142857142857,0.644403132633422,8.0,6.0,12.0,4.0
rf,bis_quatro__A,bis_quatro,A,3,29,1,0.5517241379310345,0.5666666666666667,0.6619047619047619,0.5801691533398851,2.0,13.0,0.0,14.0
rf,bis_quatro__A,bis_quatro,A,4,28,1,0.4642857142857143,0.4642857142857143,0.47959183673469385,0.6413553044296095,8.0,6.0,9.0,5.0
rf,bis_quatro__A,bis_quatro,A,5,28,1,0.35714285714285715,0.35714285714285715,0.31887755102040816,0.5982854040142752,7.0,7.0,11.0,3.0
rf,bis_quatro__A,bis_quatro,A,6,28,1,0.8214285714285714,0.8214285714285714,0.8979591836734694,0.5254990487548628,9.0,5.0,0.0,14.0
rf,bis_quatro__A,bis_quatro,A,7,27,1,0.5185185185185185,0.5,0.9340659340659341,0.581345310641964,14.0,0.0,13.0,0.0
rf,bis_quatro__A,bis_quatro,A,8,25,1,0.96,0.9545454545454546,1.0,0.5429507783449927,14.0,0.0,1.0,10.0
rf,bis_quatro__A,bis_quatro,A,9,25,1,0.8,0.8116883116883117,0.9415584415584415,0.5676088737631563,10.0,4.0,1.0,10.0
rf,bis_quatro__A,bis_quatro,A,10,24,1,0.5,0.5314685314685315,0.4825174825174825,0.6247332739108122,2.0,11.0,1.0,10.0
rf,bis_quatro__B,bis_quatro,B,1,32,1,0.46875,0.4764705882352941,0.3764705882352941,0.4942918192918193,9.0,6.0,11.0,6.0
rf,bis_quatro__B,bis_quatro,B,2,30,1,0.6333333333333333,0.625,0.6160714285714286,0.41248319651609505,7.0,7.0,4.0,12.0
rf,bis_quatro__B,bis_quatro,B,3,29,1,0.5172413793103449,0.5166666666666666,0.5380952380952381,0.4696313171922928,8.0,7.0,7.0,7.0
rf,bis_quatro__B,bis_quatro,B,4,28,1,0.42857142857142855,0.4285714285714286,0.4285714285714286,0.47584730766806765,9.0,5.0,11.0,3.0
rf,bis_quatro__B,bis_quatro,B,5,28,1,0.35714285714285715,0.3571428571428571,0.3877551020408163,0.5073938792032949,4.0,10.0,8.0,6.0
rf,bis_quatro__B,bis_quatro,B,6,28,1,0.42857142857142855,0.4285714285714286,0.4387755102040816,0.48966408268733846,7.0,7.0,9.0,5.0
rf,bis_quatro__B,bis_quatro,B,7,27,1,0.4444444444444444,0.4368131868131868,0.3461538461538462,0.4765457646909717,9.0,5.0,10.0,3.0
rf,bis_quatro__B,bis_quatro,B,8,25,1,0.4,0.40584415584415584,0.49350649350649345,0.5016611295681063,5.0,9.0,6.0,5.0
rf,bis_quatro__B,bis_quatro,B,9,25,1,0.56,0.5584415584415584,0.5454545454545454,0.46991059611592795,8.0,6.0,5.0,6.0
rf,bis_quatro__B,bis_quatro,B,10,24,1,0.6666666666666666,0.6713286713286714,0.7272727272727273,0.4482056199299535,8.0,5.0,3.0,8.0
rf,bis_quatro__C,bis_quatro,C,1,32,1,0.625,0.6274509803921569,0.7215686274509805,0.5533730158730159,10.0,5.0,7.0,10.0
rf,bis_quatro__C,bis_quatro,C,2,30,1,0.23333333333333334,0.25,0.3415178571428571,0.6360690894156579,7.0,7.0,16.0,0.0
rf,bis_quatro__C,bis_quatro,C,3,29,1,0.4827586206896552,0.4976190476190476,0.7000000000000001,0.576327466571369,1.0,14.0,1.0,13.0
rf,bis_quatro__C,bis_quatro,C,4,28,1,0.32142857142857145,0.3214285714285714,0.43877551020408156,0.6291705710310361,5.0,9.0,10.0,4.0
rf,bis_quatro__C,bis_quatro,C,5,28,1,0.5,0.5,0.5510204081632654,0.6110626311987627,3.0,11.0,3.0,11.0
rf,bis_quatro__C,bis_quatro,C,6,28,1,0.75,0.75,0.7908163265306122,0.5716498475999328,8.0,6.0,1.0,13.0
rf,bis_quatro__C,bis_quatro,C,7,27,1,0.5185185185185185,0.5,0.9615384615384615,0.5870243860884814,14.0,0.0,13.0,0.0
