estimator,model,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,tn,fp,fn,tp
rf,A_bandpower_epoch,1,32,1,0.875,0.8823529411764706,0.9607843137254902,15.0,0.0,4.0,13.0
rf,A_bandpower_epoch,2,30,1,0.7,0.6785714285714286,0.8035714285714286,5.0,9.0,0.0,16.0
rf,A_bandpower_epoch,3,29,1,0.7586206896551724,0.7595238095238095,0.861904761904762,11.0,4.0,3.0,11.0
rf,A_bandpower_epoch,4,28,1,0.6428571428571429,0.6428571428571428,0.8443877551020409,14.0,0.0,10.0,4.0
rf,A_bandpower_epoch,5,28,1,0.5,0.5,0.3290816326530612,0.0,14.0,0.0,14.0
rf,A_bandpower_epoch,6,28,1,0.7857142857142857,0.7857142857142857,1.0,14.0,0.0,6.0,8.0
rf,A_bandpower_epoch,7,27,1,0.5185185185185185,0.5,0.8846153846153847,14.0,0.0,13.0,0.0
rf,A_bandpower_epoch,8,25,1,1.0,1.0,1.0,14.0,0.0,0.0,11.0
rf,A_bandpower_epoch,9,25,1,0.92,0.9285714285714286,0.9675324675324675,12.0,2.0,0.0,11.0
rf,A_bandpower_epoch,10,24,1,0.5416666666666666,0.5699300699300699,0.6853146853146853,3.0,10.0,1.0,10.0
rf,B_wpli_edges_epoch_sliding,1,32,1,0.53125,0.5549019607843138,0.6509803921568628,14.0,1.0,14.0,3.0
rf,B_wpli_edges_epoch_sliding,2,30,1,0.36666666666666664,0.38839285714285715,0.2589285714285714,10.0,4.0,15.0,1.0
rf,B_wpli_edges_epoch_sliding,3,29,1,0.3793103448275862,0.37857142857142856,0.3619047619047619,6.0,9.0,9.0,5.0
rf,B_wpli_edges_epoch_sliding,4,28,1,0.7142857142857143,0.7142857142857143,0.8826530612244897,14.0,0.0,8.0,6.0
rf,B_wpli_edges_epoch_sliding,5,28,1,0.35714285714285715,0.35714285714285715,0.23979591836734693,5.0,9.0,9.0,5.0
rf,B_wpli_edges_epoch_sliding,6,28,1,0.39285714285714285,0.3928571428571429,0.2346938775510204,9.0,5.0,12.0,2.0
