estimator,model,subset,feat_type,obs_bacc,null_bacc_mean,p_perm_bacc,obs_auc,null_auc_mean,p_perm_auc
rf,left_lateral__A,left_lateral,A,0.7053981312804842,0.49646764489595374,0.07692307692307693,0.7768806368701326,0.48945327344224404,0.07692307692307693
rf,left_lateral__C,left_lateral,C,0.7237098195921725,0.5098725284111314,0.07692307692307693,0.7932890533835912,0.5221913777165877,0.07692307692307693
rf,right_lateral__A,right_lateral,A,0.6833517462929228,0.48558278322984205,0.07692307692307693,0.7511138791180808,0.49221548278402266,0.15384615384615385
rf,right_lateral__B,right_lateral,B,0.4016822882999353,0.5151858354064236,0.07692307692307693,0.330116315757072,0.513213284585396,0.07692307692307693
rf,right_lateral__C,right_lateral,C,0.6624875124875125,0.49927145056740646,0.07692307692307693,0.7374692866657152,0.4990901321192813,0.07692307692307693
rf,both_lateral__A,both_lateral,A,0.7134758378876026,0.4908739136680314,0.07692307692307693,0.7716738793419465,0.48504106231653504,0.07692307692307693
rf,both_lateral__C,both_lateral,C,0.707236978707567,0.4949967189673072,0.07692307692307693,0.799495326102469,0.5050935044763826,0.07692307692307693
rf,bis_quatro__C,bis_quatro,C,0.5763181916123092,0.4822706082724466,0.15384615384615385,0.6910332096125164,0.48525978332766667,0.07692307692307693
rf,bis_quatro__A,bis_quatro,A,0.5957156079214903,0.4854833136634608,0.3076923076923077,0.6919101241895359,0.4788718727584274,0.07692307692307693
rf,bis_quatro__B,bis_quatro,B,0.49048505416152477,0.5161891182755154,0.38461538461538464,0.4898126908105899,0.5177220421968322,0.5384615384615384
rf,both_lateral__B,both_lateral,B,0.47661419462890053,0.5037972331998066,0.6923076923076923,0.43514551799740875,0.4924224312393956,0.46153846153846156
rf,left_lateral__B,left_lateral,B,0.48715954388748506,0.49025967292511413,1.0,0.5066905853250392,0.49296925909058253,1.0
svm,left_lateral__A,left_lateral,A,0.6370333587980647,0.4718569900279459,0.07692307692307693,0.6446776280442247,0.4781310907230025,0.23076923076923078
svm,left_lateral__C,left_lateral,C,0.7053256547374194,0.5093588213257332,0.07692307692307693,0.7606723021376383,0.5085986473552125,0.07692307692307693
svm,right_lateral__A,right_lateral,A,0.6350632700632701,0.48378379484078016,0.07692307692307693,0.6961818591072793,0.47135856163560996,0.07692307692307693
svm,right_lateral__B,right_lateral,B,0.3831977091535915,0.5060029002859886,0.07692307692307693,0.3466835562896487,0.5112809016380445,0.07692307692307693
svm,both_lateral__A,both_lateral,A,0.6611324949560243,0.4840329768270945,0.07692307692307693,0.6987699520367587,0.4777139611672174,0.07692307692307693
svm,both_lateral__C,both_lateral,C,0.6303481812305342,0.48954289072855256,0.07692307692307693,0.7237717342181628,0.4897851499282697,0.07692307692307693
svm,bis_quatro__C,bis_quatro,C,0.5967114870423693,0.48461568966164553,0.07692307692307693,0.625403635230316,0.47914713568994033,0.07692307692307693
svm,right_lateral__C,right_lateral,C,0.574553877495054,0.5026744915623592,0.23076923076923078,0.6475713572142143,0.4940682686244661,0.23076923076923078
svm,bis_quatro__B,bis_quatro,B,0.47029894125482363,0.50652630763844,0.23076923076923078,0.49778737893758895,0.5116378385561683,0.8461538461538461
svm,bis_quatro__A,bis_quatro,A,0.5847390844449668,0.4748137758891435,0.38461538461538464,0.6242388966075941,0.4524804901564356,0.3076923076923077
svm,both_lateral__B,both_lateral,B,0.43903000186088426,0.4760379448982391,0.46153846153846156,0.4059761719373064,0.49029983482320666,0.38461538461538464
svm,left_lateral__B,left_lateral,B,0.4930436475289417,0.4956195816030375,0.9230769230769231,0.5306499820207804,0.4933874734334293,0.38461538461538464
xgb,left_lateral__A,left_lateral,A,0.671545219486396,0.49704081763824415,0.07692307692307693,0.7925970125812563,0.48860126349490846,0.07692307692307693
xgb,left_lateral__C,left_lateral,C,0.708937043348808,0.4952798274029891,0.07692307692307693,0.8019761610938081,0.49792309085638914,0.07692307692307693
xgb,right_lateral__B,right_lateral,B,0.39330182072829134,0.5091710515791398,0.07692307692307693,0.34776319268966327,0.5113785211054119,0.07692307692307693
xgb,both_lateral__A,both_lateral,A,0.6904646334058099,0.5044848870492253,0.07692307692307693,0.7833699056545695,0.507564398574115,0.07692307692307693
xgb,both_lateral__C,both_lateral,C,0.6947137176548941,0.502975451835746,0.07692307692307693,0.768482973609024,0.5021412763823478,0.07692307692307693
xgb,right_lateral__A,right_lateral,A,0.6434192278309926,0.4967904705588529,0.15384615384615385,0.753150219878161,0.503134841494873,0.15384615384615385
xgb,right_lateral__C,right_lateral,C,0.639723658694247,0.5007732943118973,0.15384615384615385,0.6992766074961453,0.5069515110822884,0.15384615384615385
xgb,bis_quatro__A,bis_quatro,A,0.6088291243070655,0.4852676949276213,0.15384615384615385,0.648399436697756,0.4689673603998709,0.15384615384615385
xgb,bis_quatro__C,bis_quatro,C,0.6075532065973243,0.4886510262613204,0.15384615384615385,0.6939139501954628,0.47764067194476856,0.07692307692307693
xgb,both_lateral__B,both_lateral,B,0.4803624806565983,0.5073887785009109,0.6923076923076923,0.47126227064252274,0.5068239220221888,0.5384615384615384
xgb,left_lateral__B,left_lateral,B,0.4881828832931774,0.5006905002677061,0.8461538461538461,0.48252398162062027,0.502075564200039,0.7692307692307693
xgb,bis_quatro__B,bis_quatro,B,0.5027431147284089,0.500277399275561,1.0,0.5021046547989825,0.5033273962265559,1.0
