estimator,model,subset,feat_type,fold,best_score_inner,rf__max_depth,rf__max_features,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,svc__C,svc__gamma,xgb__colsample_bytree,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample
rf,bis_quatro__A,bis_quatro,A,1,0.619212962962963,5.0,0.8,2.0,10.0,400.0,,,,,,,
rf,bis_quatro__A,bis_quatro,A,2,0.6541974548440066,5.0,sqrt,4.0,2.0,400.0,,,,,,,
rf,bis_quatro__A,bis_quatro,A,3,0.6549480932379543,5.0,0.8,5.0,2.0,200.0,,,,,,,
rf,bis_quatro__A,bis_quatro,A,4,0.685546678758854,5.0,0.8,4.0,10.0,400.0,,,,,,,
rf,bis_quatro__A,bis_quatro,A,5,0.6661030145216325,5.0,0.8,5.0,2.0,800.0,,,,,,,
rf,bis_quatro__A,bis_quatro,A,6,0.6522327598502845,5.0,0.8,4.0,10.0,400.0,,,,,,,
rf,bis_quatro__A,bis_quatro,A,7,0.6713182240715329,5.0,sqrt,2.0,10.0,800.0,,,,,,,
rf,bis_quatro__A,bis_quatro,A,8,0.6221943094052009,10.0,0.8,5.0,2.0,200.0,,,,,,,
rf,bis_quatro__A,bis_quatro,A,9,0.6007579205907633,5.0,0.8,2.0,10.0,200.0,,,,,,,
rf,bis_quatro__A,bis_quatro,A,10,0.6442505052418845,5.0,0.8,2.0,6.0,200.0,,,,,,,
rf,bis_quatro__B,bis_quatro,B,1,0.5380291005291005,10.0,sqrt,4.0,2.0,200.0,,,,,,,
rf,bis_quatro__B,bis_quatro,B,2,0.4983408593322387,20.0,0.3,5.0,2.0,200.0,,,,,,,
rf,bis_quatro__B,bis_quatro,B,3,0.46088522575010554,10.0,0.3,2.0,10.0,200.0,,,,,,,
rf,bis_quatro__B,bis_quatro,B,4,0.4837888089418013,5.0,sqrt,2.0,6.0,200.0,,,,,,,
rf,bis_quatro__B,bis_quatro,B,5,0.4836283834059497,10.0,sqrt,5.0,2.0,400.0,,,,,,,
rf,bis_quatro__B,bis_quatro,B,6,0.5315721172616619,20.0,sqrt,2.0,2.0,400.0,,,,,,,
rf,bis_quatro__B,bis_quatro,B,7,0.4955331453107116,20.0,sqrt,2.0,2.0,200.0,,,,,,,
rf,bis_quatro__B,bis_quatro,B,8,0.5065222221708765,20.0,sqrt,2.0,6.0,800.0,,,,,,,
rf,bis_quatro__B,bis_quatro,B,9,0.5038642147031549,20.0,sqrt,4.0,2.0,200.0,,,,,,,
rf,bis_quatro__B,bis_quatro,B,10,0.49852769357079696,5.0,0.3,5.0,2.0,800.0,,,,,,,
