estimator,model,fold,n_iter,best_score_inner,rf__max_depth,rf__max_features,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,pca_n_components,svc__C,svc__gamma,xgb__colsample_bytree,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample
rf,A_bandpower_epoch,1,720,0.673776455026455,10.0,0.3,2.0,10.0,200.0,,,,,,,,
rf,A_bandpower_epoch,2,720,0.7298052362707534,5.0,0.8,3.0,2.0,400.0,,,,,,,,
rf,A_bandpower_epoch,3,720,0.7122484878325148,10.0,sqrt,1.0,8.0,200.0,,,,,,,,
rf,A_bandpower_epoch,4,720,0.7524680823519411,5.0,0.8,3.0,2.0,600.0,,,,,,,,
rf,A_bandpower_epoch,5,720,0.7811425275528789,10.0,0.8,1.0,10.0,1000.0,,,,,,,,
rf,A_bandpower_epoch,6,720,0.7052112894843408,10.0,sqrt,3.0,8.0,400.0,,,,,,,,
rf,A_bandpower_epoch,7,720,0.7390427287731525,10.0,0.3,3.0,10.0,600.0,,,,,,,,
rf,A_bandpower_epoch,8,720,0.7379856791652418,5.0,0.3,2.0,10.0,400.0,,,,,,,,
rf,A_bandpower_epoch,9,720,0.7383163776929548,5.0,0.3,2.0,8.0,200.0,,,,,,,,
rf,A_bandpower_epoch,10,720,0.7635389036251106,5.0,0.3,3.0,10.0,200.0,,,,,,,,
rf,B_wpli_edges_epoch_sliding,1,720,0.4942129629629629,10.0,0.8,4.0,2.0,200.0,100.0,,,,,,,
rf,B_wpli_edges_epoch_sliding,2,720,0.5556866903849662,10.0,0.8,3.0,10.0,200.0,100.0,,,,,,,
rf,B_wpli_edges_epoch_sliding,3,720,0.4818906877276361,5.0,sqrt,5.0,2.0,200.0,100.0,,,,,,,
rf,B_wpli_edges_epoch_sliding,4,720,0.5283888425155965,10.0,0.8,5.0,2.0,1000.0,100.0,,,,,,,
rf,B_wpli_edges_epoch_sliding,5,720,0.5467896419630518,5.0,0.8,2.0,8.0,200.0,100.0,,,,,,,
rf,B_wpli_edges_epoch_sliding,6,720,0.5692542378280061,5.0,sqrt,1.0,4.0,200.0,100.0,,,,,,,
rf,B_wpli_edges_epoch_sliding,7,720,0.5351263856655938,5.0,sqrt,4.0,2.0,400.0,100.0,,,,,,,
rf,B_wpli_edges_epoch_sliding,8,720,0.5398793542454181,10.0,0.8,3.0,2.0,600.0,100.0,,,,,,,
rf,B_wpli_edges_epoch_sliding,9,720,0.5332572967402656,10.0,sqrt,2.0,2.0,400.0,100.0,,,,,,,
rf,B_wpli_edges_epoch_sliding,10,720,0.5517044019199191,5.0,sqrt,2.0,2.0,200.0,100.0,,,,,,,
rf,C_AplusB_epoch_sliding,1,720,0.6314484126984127,5.0,sqrt,2.0,10.0,200.0,100.0,,,,,,,
rf,C_AplusB_epoch_sliding,2,720,0.6323378489326765,5.0,0.3,1.0,2.0,400.0,100.0,,,,,,,
rf,C_AplusB_epoch_sliding,3,720,0.7092530044272443,5.0,0.8,1.0,8.0,200.0,100.0,,,,,,,
rf,C_AplusB_epoch_sliding,4,720,0.6523842708233062,20.0,0.8,1.0,2.0,600.0,100.0,,,,,,,
rf,C_AplusB_epoch_sliding,5,720,0.7541824962368542,5.0,0.3,5.0,2.0,1000.0,100.0,,,,,,,
rf,C_AplusB_epoch_sliding,6,720,0.6805378654912208,5.0,0.3,1.0,8.0,1000.0,100.0,,,,,,,
rf,C_AplusB_epoch_sliding,7,720,0.7246161556119062,10.0,0.3,1.0,2.0,200.0,100.0,,,,,,,
