model,fold,best_score_inner,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
A_banana_bandpower,1,0.6483996989600438,,0.8,2,9,519
A_banana_bandpower,2,0.5531025360335705,10.0,,1,4,516
A_banana_bandpower,3,0.5772156084656085,,,2,8,458
A_banana_bandpower,4,0.622153119868637,20.0,0.5,1,4,700
A_banana_bandpower,5,0.6646560846560847,20.0,sqrt,1,4,213
B_banana_wpli,1,0.48025884875022806,20.0,log2,2,9,678
B_banana_wpli,2,0.55706964969896,20.0,sqrt,2,10,564
B_banana_wpli,3,0.6107804232804233,20.0,0.5,1,9,467
B_banana_wpli,4,0.5409852216748768,5.0,sqrt,4,6,252
B_banana_wpli,5,0.6205731162196679,5.0,sqrt,3,8,344
C_banana_A_plus_B,1,0.6288494344097793,10.0,,1,8,215
C_banana_A_plus_B,2,0.5507811074621419,5.0,0.8,4,10,666
C_banana_A_plus_B,3,0.6086309523809523,,,1,2,382
C_banana_A_plus_B,4,0.6182245484400657,20.0,0.8,1,10,319
C_banana_A_plus_B,5,0.6742743112570699,20.0,log2,4,8,280
