model,subset,feat_type,fold,best_score_inner,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
bis_quatro__A,bis_quatro,A,1,0.6932133734719942,5,0.8,4,2,400
bis_quatro__A,bis_quatro,A,2,0.6520721583652618,5,0.8,2,10,800
bis_quatro__A,bis_quatro,A,3,0.5444775132275133,10,sqrt,5,2,800
bis_quatro__A,bis_quatro,A,4,0.59146004378763,5,sqrt,2,10,400
bis_quatro__A,bis_quatro,A,5,0.6736466885604817,5,sqrt,2,6,200
bis_quatro__B,bis_quatro,B,1,0.47485951468710086,10,0.8,2,6,400
bis_quatro__B,bis_quatro,B,2,0.48892469439883235,10,0.8,4,10,800
bis_quatro__B,bis_quatro,B,3,0.4548611111111111,5,0.8,2,2,400
bis_quatro__B,bis_quatro,B,4,0.5178537219485495,5,sqrt,4,2,400
bis_quatro__B,bis_quatro,B,5,0.5198896186827221,10,0.8,4,10,400
bis_quatro__C,bis_quatro,C,1,0.6881850939609561,5,0.8,2,2,400
bis_quatro__C,bis_quatro,C,2,0.6438332421091042,10,sqrt,4,2,200
bis_quatro__C,bis_quatro,C,3,0.5441468253968254,10,0.8,4,10,400
bis_quatro__C,bis_quatro,C,4,0.6274418445539136,5,sqrt,5,2,200
bis_quatro__C,bis_quatro,C,5,0.6753452837073526,5,0.8,5,2,400
both_lateral__A,both_lateral,A,1,0.7122393267651889,5,sqrt,2,10,200
both_lateral__A,both_lateral,A,2,0.6899135650428754,5,sqrt,5,2,200
both_lateral__A,both_lateral,A,3,0.7121362433862435,10,sqrt,5,2,800
both_lateral__A,both_lateral,A,4,0.6743653074256524,5,sqrt,5,2,200
both_lateral__A,both_lateral,A,5,0.8068165024630541,5,sqrt,2,2,800
both_lateral__B,both_lateral,B,1,0.5402209906951285,5,sqrt,2,10,200
both_lateral__B,both_lateral,B,2,0.4679958036854589,10,sqrt,4,2,200
both_lateral__B,both_lateral,B,3,0.5621693121693122,5,0.8,2,2,200
both_lateral__B,both_lateral,B,4,0.41403598795840174,5,0.3,4,2,800
both_lateral__B,both_lateral,B,5,0.5113086115672323,5,sqrt,4,2,800
both_lateral__C,both_lateral,C,1,0.6988872924648788,10,0.8,4,10,200
both_lateral__C,both_lateral,C,2,0.6747639573070607,5,0.3,5,2,200
both_lateral__C,both_lateral,C,3,0.7299933862433863,5,0.3,2,2,400
both_lateral__C,both_lateral,C,4,0.6853074256522533,10,sqrt,2,2,400
both_lateral__C,both_lateral,C,5,0.808731527093596,5,0.3,2,6,200
left_lateral__A,left_lateral,A,1,0.7120865261813536,5,0.8,2,6,400
left_lateral__A,left_lateral,A,2,0.671066639299398,5,0.8,4,2,400
left_lateral__A,left_lateral,A,3,0.6936177248677249,5,0.8,2,2,200
left_lateral__A,left_lateral,A,4,0.6576156267104543,5,0.8,5,2,800
left_lateral__A,left_lateral,A,5,0.7892610837438423,5,sqrt,4,10,800
left_lateral__B,left_lateral,B,1,0.5042499087757708,10,sqrt,5,2,200
left_lateral__B,left_lateral,B,2,0.5542925561029008,5,sqrt,5,2,200
left_lateral__B,left_lateral,B,3,0.5889550264550265,5,0.8,2,6,800
left_lateral__B,left_lateral,B,4,0.5080763090676884,10,0.3,5,2,400
left_lateral__B,left_lateral,B,5,0.5678110746214194,10,sqrt,2,10,200
left_lateral__C,left_lateral,C,1,0.7372746761539866,5,0.3,2,2,200
left_lateral__C,left_lateral,C,2,0.6614370096697683,5,0.8,2,6,200
left_lateral__C,left_lateral,C,3,0.6992394179894179,10,0.8,5,2,200
left_lateral__C,left_lateral,C,4,0.6707006020799123,10,0.3,5,2,400
left_lateral__C,left_lateral,C,5,0.8044950738916257,5,0.3,2,6,200
right_lateral__A,right_lateral,A,1,0.6524197226783435,10,sqrt,2,6,200
right_lateral__A,right_lateral,A,2,0.7013403119868638,5,0.8,2,10,800
right_lateral__A,right_lateral,A,3,0.7299933862433863,5,0.3,2,10,200
right_lateral__A,right_lateral,A,4,0.6913788542236818,10,sqrt,5,2,200
right_lateral__A,right_lateral,A,5,0.8076600985221676,10,0.3,2,2,800
right_lateral__B,right_lateral,B,1,0.47844667943805874,5,0.3,2,6,200
right_lateral__B,right_lateral,B,2,0.41929324028461956,10,0.8,2,6,200
right_lateral__B,right_lateral,B,3,0.4819775132275132,5,sqrt,4,10,200
right_lateral__B,right_lateral,B,4,0.46750889436234266,5,sqrt,2,10,400
right_lateral__B,right_lateral,B,5,0.4198686371100164,10,sqrt,4,10,800
right_lateral__C,right_lateral,C,1,0.643376892902755,10,sqrt,2,10,200
right_lateral__C,right_lateral,C,2,0.6941103357051632,10,0.8,2,10,400
right_lateral__C,right_lateral,C,3,0.6942791005291007,5,sqrt,2,10,400
right_lateral__C,right_lateral,C,4,0.6886017606276227,10,sqrt,4,10,200
right_lateral__C,right_lateral,C,5,0.8121243842364533,5,sqrt,4,10,400
