model,fold,n_iter,best_score_inner,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,rf__max_depth,rf__max_features,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,pca_n_components
A_bandpower_epoch,1,720,0.7551949917898194,10.0,0.8,4.0,10.0,200.0,,,,,,
A_bandpower_epoch,2,720,0.7038095238095238,5.0,0.8,1.0,8.0,200.0,,,,,,
A_bandpower_epoch,3,720,0.6716269841269842,10.0,sqrt,1.0,2.0,200.0,,,,,,
A_bandpower_epoch,4,720,0.7217492245940522,5.0,sqrt,4.0,10.0,200.0,,,,,,
A_bandpower_epoch,5,720,0.7813300492610837,5.0,sqrt,1.0,10.0,600.0,,,,,,
B_wpli_edges_epoch_sliding,1,720,0.567924192665572,,,,,,5.0,0.8,4.0,2.0,1000.0,100.0
B_wpli_edges_epoch_sliding,2,720,0.56527321656632,,,,,,10.0,sqrt,4.0,2.0,200.0,100.0
B_wpli_edges_epoch_sliding,3,720,0.5350529100529101,,,,,,10.0,sqrt,1.0,8.0,1000.0,100.0
B_wpli_edges_epoch_sliding,4,720,0.5639901477832513,,,,,,5.0,sqrt,3.0,2.0,600.0,100.0
B_wpli_edges_epoch_sliding,5,720,0.5573300948731983,,,,,,10.0,sqrt,4.0,10.0,400.0,100.0
C_AplusB_epoch_sliding,1,720,0.683334017515052,,,,,,5.0,sqrt,1.0,4.0,200.0,100.0
C_AplusB_epoch_sliding,2,720,0.6454191753329684,,,,,,20.0,sqrt,2.0,10.0,600.0,100.0
C_AplusB_epoch_sliding,3,720,0.7118055555555556,,,,,,10.0,0.8,1.0,2.0,200.0,100.0
C_AplusB_epoch_sliding,4,720,0.6610985677796022,,,,,,5.0,sqrt,2.0,8.0,600.0,100.0
C_AplusB_epoch_sliding,5,720,0.787226555373107,,,,,,20.0,sqrt,1.0,4.0,600.0,100.0
