estimator,model,subset,feat_type,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,best_score_inner,tn,fp,fn,tp
rf,bis_quatro__A,bis_quatro,A,1,32,1,0.59375,0.5980392156862745,0.7294117647058824,0.619212962962963,10.0,5.0,8.0,9.0
rf,bis_quatro__A,bis_quatro,A,2,30,1,0.4666666666666667,0.4732142857142857,0.4464285714285714,0.6541974548440066,8.0,6.0,10.0,6.0
rf,bis_quatro__A,bis_quatro,A,3,29,1,0.4827586206896552,0.5,0.8380952380952381,0.6549480932379543,0.0,15.0,0.0,14.0
rf,bis_quatro__A,bis_quatro,A,4,28,1,0.5,0.5,0.4846938775510204,0.685546678758854,4.0,10.0,4.0,10.0
rf,bis_quatro__A,bis_quatro,A,5,28,1,0.7142857142857143,0.7142857142857143,0.7295918367346939,0.6661030145216325,11.0,3.0,5.0,9.0
rf,bis_quatro__A,bis_quatro,A,6,28,1,0.8571428571428571,0.8571428571428572,0.8316326530612245,0.6522327598502845,10.0,4.0,0.0,14.0
rf,bis_quatro__A,bis_quatro,A,7,27,1,0.5185185185185185,0.5,0.9615384615384616,0.6713182240715329,14.0,0.0,13.0,0.0
rf,bis_quatro__A,bis_quatro,A,8,25,1,0.96,0.9545454545454546,1.0,0.6221943094052009,14.0,0.0,1.0,10.0
rf,bis_quatro__A,bis_quatro,A,9,25,1,0.8,0.8214285714285714,0.9415584415584415,0.6007579205907633,9.0,5.0,0.0,11.0
rf,bis_quatro__A,bis_quatro,A,10,24,1,0.4583333333333333,0.493006993006993,0.4545454545454546,0.6442505052418845,1.0,12.0,1.0,10.0
rf,bis_quatro__B,bis_quatro,B,1,32,1,0.375,0.3803921568627451,0.3764705882352941,0.5380291005291005,7.0,8.0,12.0,5.0
rf,bis_quatro__B,bis_quatro,B,2,30,1,0.5,0.4955357142857143,0.5892857142857143,0.4983408593322387,6.0,8.0,7.0,9.0
rf,bis_quatro__B,bis_quatro,B,3,29,1,0.5517241379310345,0.5476190476190476,0.4952380952380952,0.46088522575010554,10.0,5.0,8.0,6.0
rf,bis_quatro__B,bis_quatro,B,4,28,1,0.42857142857142855,0.4285714285714286,0.3826530612244898,0.4837888089418013,9.0,5.0,11.0,3.0
rf,bis_quatro__B,bis_quatro,B,5,28,1,0.42857142857142855,0.42857142857142855,0.42346938775510207,0.4836283834059497,6.0,8.0,8.0,6.0
rf,bis_quatro__B,bis_quatro,B,6,28,1,0.39285714285714285,0.39285714285714285,0.34183673469387754,0.5315721172616619,7.0,7.0,10.0,4.0
rf,bis_quatro__B,bis_quatro,B,7,27,1,0.4074074074074074,0.4010989010989011,0.3626373626373626,0.4955331453107116,8.0,6.0,10.0,3.0
rf,bis_quatro__B,bis_quatro,B,8,25,1,0.52,0.5227272727272727,0.474025974025974,0.5065222221708765,7.0,7.0,5.0,6.0
rf,bis_quatro__B,bis_quatro,B,9,25,1,0.48,0.4772727272727273,0.4740259740259741,0.5038642147031549,7.0,7.0,6.0,5.0
rf,bis_quatro__B,bis_quatro,B,10,24,1,0.5,0.5104895104895105,0.7132867132867133,0.49852769357079696,5.0,8.0,4.0,7.0
rf,bis_quatro__C,bis_quatro,C,1,32,1,0.625,0.6274509803921569,0.7490196078431373,0.609292328042328,10.0,5.0,7.0,10.0
rf,bis_quatro__C,bis_quatro,C,2,30,1,0.3,0.3080357142857143,0.3794642857142857,0.6523786717752235,6.0,8.0,13.0,3.0
rf,bis_quatro__C,bis_quatro,C,3,29,1,0.4482758620689655,0.4642857142857143,0.6571428571428571,0.6378883206989532,0.0,15.0,1.0,13.0
rf,bis_quatro__C,bis_quatro,C,4,28,1,0.5357142857142857,0.5357142857142857,0.5,0.6497498125746101,6.0,8.0,5.0,9.0
rf,bis_quatro__C,bis_quatro,C,5,28,1,0.5,0.5,0.4387755102040817,0.6654914228145825,14.0,0.0,14.0,0.0
rf,bis_quatro__C,bis_quatro,C,6,28,1,0.7857142857142857,0.7857142857142857,0.7755102040816326,0.64143919307895,8.0,6.0,0.0,14.0
rf,bis_quatro__C,bis_quatro,C,7,27,1,0.5185185185185185,0.5,0.9285714285714286,0.6671756530729682,14.0,0.0,13.0,0.0
rf,bis_quatro__C,bis_quatro,C,8,25,1,0.96,0.9545454545454546,1.0,0.6191383084255246,14.0,0.0,1.0,10.0
rf,bis_quatro__C,bis_quatro,C,9,25,1,0.72,0.7305194805194806,0.8636363636363635,0.6010658023641624,9.0,5.0,2.0,9.0
rf,bis_quatro__C,bis_quatro,C,10,24,1,0.4166666666666667,0.45454545454545453,0.5104895104895105,0.6430702917771883,0.0,13.0,1.0,10.0
rf,both_lateral__A,both_lateral,A,1,32,1,0.875,0.8745098039215686,0.8941176470588236,0.7022156084656085,13.0,2.0,2.0,15.0
rf,both_lateral__A,both_lateral,A,2,30,1,0.7333333333333333,0.7142857142857143,0.6517857142857143,0.7292863984674329,6.0,8.0,0.0,16.0
rf,both_lateral__A,both_lateral,A,3,29,1,0.6896551724137931,0.7,0.6809523809523809,0.7800142937476389,6.0,9.0,0.0,14.0
rf,both_lateral__A,both_lateral,A,4,28,1,0.8928571428571429,0.8928571428571428,0.9183673469387756,0.7733863748357905,13.0,1.0,2.0,12.0
rf,both_lateral__A,both_lateral,A,5,28,1,0.5,0.5,0.29081632653061223,0.8221259786111386,0.0,14.0,0.0,14.0
rf,both_lateral__A,both_lateral,A,6,28,1,0.8214285714285714,0.8214285714285714,0.9642857142857143,0.7442946065987321,14.0,0.0,5.0,9.0
rf,both_lateral__A,both_lateral,A,7,27,1,0.5185185185185185,0.5,0.9285714285714286,0.7578782558793957,14.0,0.0,13.0,0.0
rf,both_lateral__A,both_lateral,A,8,25,1,0.96,0.9545454545454546,1.0,0.7283163815438836,14.0,0.0,1.0,10.0
rf,both_lateral__A,both_lateral,A,9,25,1,0.88,0.8928571428571428,1.0,0.7187058105897466,11.0,3.0,0.0,11.0
rf,both_lateral__A,both_lateral,A,10,24,1,0.5833333333333334,0.5734265734265734,0.5734265734265734,0.7334059618542377,9.0,4.0,6.0,5.0
rf,both_lateral__B,both_lateral,B,1,32,1,0.4375,0.4274509803921569,0.4627450980392157,0.4995039682539682,4.0,11.0,7.0,10.0
rf,both_lateral__B,both_lateral,B,2,30,1,0.4,0.39285714285714285,0.3883928571428572,0.48002189381499727,4.0,10.0,8.0,8.0
rf,both_lateral__B,both_lateral,B,3,29,1,0.4827586206896552,0.48333333333333334,0.4285714285714286,0.5530155492225564,7.0,8.0,7.0,7.0
rf,both_lateral__B,both_lateral,B,4,28,1,0.5,0.5,0.49999999999999994,0.5396720588500501,11.0,3.0,11.0,3.0
rf,both_lateral__B,both_lateral,B,5,28,1,0.4642857142857143,0.46428571428571425,0.28571428571428575,0.5725070798316227,12.0,2.0,13.0,1.0
rf,both_lateral__B,both_lateral,B,6,28,1,0.39285714285714285,0.39285714285714285,0.37755102040816324,0.5012333129337688,5.0,9.0,8.0,6.0
rf,both_lateral__B,both_lateral,B,7,27,1,0.5185185185185185,0.5137362637362638,0.3901098901098901,0.5226389934044531,9.0,5.0,8.0,5.0
rf,both_lateral__B,both_lateral,B,8,25,1,0.48,0.4675324675324675,0.42857142857142855,0.5510409831267695,8.0,6.0,7.0,4.0
rf,both_lateral__B,both_lateral,B,9,25,1,0.64,0.6298701298701299,0.6168831168831168,0.5343839822918881,10.0,4.0,5.0,6.0
rf,both_lateral__B,both_lateral,B,10,24,1,0.5416666666666666,0.548951048951049,0.46853146853146854,0.5389273083238599,6.0,7.0,4.0,7.0
rf,both_lateral__C,both_lateral,C,1,32,1,0.84375,0.8372549019607842,0.9529411764705883,0.6752645502645503,11.0,4.0,1.0,16.0
rf,both_lateral__C,both_lateral,C,2,30,1,0.7333333333333333,0.7142857142857143,0.5803571428571429,0.718219759168035,6.0,8.0,0.0,16.0
rf,both_lateral__C,both_lateral,C,3,29,1,0.5172413793103449,0.5333333333333333,0.6190476190476191,0.7901176772062855,1.0,14.0,0.0,14.0
rf,both_lateral__C,both_lateral,C,4,28,1,0.7142857142857143,0.7142857142857143,0.8673469387755102,0.7740659675307323,9.0,5.0,3.0,11.0
rf,both_lateral__C,both_lateral,C,5,28,1,0.5,0.5,0.6326530612244898,0.8133627510979111,0.0,14.0,0.0,14.0
rf,both_lateral__C,both_lateral,C,6,28,1,0.7142857142857143,0.7142857142857143,0.9234693877551021,0.745019928512525,14.0,0.0,8.0,6.0
rf,both_lateral__C,both_lateral,C,7,27,1,0.5185185185185185,0.5,0.7912087912087913,0.7563759983432088,14.0,0.0,13.0,0.0
rf,both_lateral__C,both_lateral,C,8,25,1,0.96,0.9545454545454546,1.0,0.7246218002630953,14.0,0.0,1.0,10.0
rf,both_lateral__C,both_lateral,C,9,25,1,0.96,0.9642857142857143,1.0,0.6986081972415026,13.0,1.0,0.0,11.0
rf,both_lateral__C,both_lateral,C,10,24,1,0.5833333333333334,0.5734265734265734,0.5594405594405594,0.752518315018315,9.0,4.0,6.0,5.0
rf,left_lateral__A,left_lateral,A,1,32,1,0.78125,0.7862745098039217,0.8588235294117648,0.7116402116402116,13.0,2.0,5.0,12.0
rf,left_lateral__A,left_lateral,A,2,30,1,0.7333333333333333,0.7142857142857143,0.6607142857142857,0.7499543878854225,6.0,8.0,0.0,16.0
rf,left_lateral__A,left_lateral,A,3,29,1,0.5172413793103449,0.5047619047619047,0.6952380952380952,0.7426781358006735,13.0,2.0,12.0,2.0
rf,left_lateral__A,left_lateral,A,4,28,1,0.9285714285714286,0.9285714285714286,0.9642857142857143,0.7466148228481679,13.0,1.0,1.0,13.0
rf,left_lateral__A,left_lateral,A,5,28,1,0.5357142857142857,0.5357142857142857,0.6326530612244898,0.8127323421978927,1.0,13.0,0.0,14.0
rf,left_lateral__A,left_lateral,A,6,28,1,0.8928571428571429,0.8928571428571428,0.9285714285714286,0.7391771059271393,12.0,2.0,1.0,13.0
rf,left_lateral__A,left_lateral,A,7,27,1,0.5555555555555556,0.5384615384615384,0.8736263736263736,0.7434874507547253,14.0,0.0,12.0,1.0
rf,left_lateral__A,left_lateral,A,8,25,1,1.0,1.0,1.0,0.7212640789964171,14.0,0.0,0.0,11.0
rf,left_lateral__A,left_lateral,A,9,25,1,0.96,0.9642857142857143,0.961038961038961,0.6673823618209657,13.0,1.0,0.0,11.0
rf,left_lateral__A,left_lateral,A,10,24,1,0.625,0.6188811188811189,0.5944055944055944,0.7490803018820259,9.0,4.0,5.0,6.0
rf,left_lateral__B,left_lateral,B,1,32,1,0.4375,0.43137254901960786,0.4392156862745098,0.533068783068783,5.0,10.0,8.0,9.0
rf,left_lateral__B,left_lateral,B,2,30,1,0.43333333333333335,0.4375,0.4330357142857143,0.5396540321109287,7.0,7.0,10.0,6.0
rf,left_lateral__B,left_lateral,B,3,29,1,0.5517241379310345,0.5523809523809524,0.5,0.5467208066072105,8.0,7.0,6.0,8.0
rf,left_lateral__B,left_lateral,B,4,28,1,0.35714285714285715,0.35714285714285715,0.4285714285714286,0.5453922366658633,7.0,7.0,11.0,3.0
rf,left_lateral__B,left_lateral,B,5,28,1,0.42857142857142855,0.4285714285714286,0.33673469387755106,0.5504656256213845,10.0,4.0,12.0,2.0
rf,left_lateral__B,left_lateral,B,6,28,1,0.4642857142857143,0.4642857142857143,0.5051020408163265,0.5200539824352958,5.0,9.0,6.0,8.0
rf,left_lateral__B,left_lateral,B,7,27,1,0.5185185185185185,0.510989010989011,0.4120879120879121,0.5368211187135206,10.0,4.0,9.0,4.0
rf,left_lateral__B,left_lateral,B,8,25,1,0.52,0.5324675324675324,0.5454545454545454,0.5444300933157115,6.0,8.0,4.0,7.0
rf,left_lateral__B,left_lateral,B,9,25,1,0.48,0.4577922077922078,0.6298701298701299,0.5417817131704853,9.0,5.0,8.0,3.0
rf,left_lateral__B,left_lateral,B,10,24,1,0.7083333333333334,0.7097902097902098,0.6993006993006994,0.5270225464190982,9.0,4.0,3.0,8.0
rf,left_lateral__C,left_lateral,C,1,32,1,0.78125,0.7862745098039217,0.815686274509804,0.7134589947089948,13.0,2.0,5.0,12.0
rf,left_lateral__C,left_lateral,C,2,30,1,0.7,0.6785714285714286,0.7053571428571428,0.7352501824484583,5.0,9.0,0.0,16.0
rf,left_lateral__C,left_lateral,C,3,29,1,0.6896551724137931,0.7,0.7380952380952381,0.7574864981700116,6.0,9.0,0.0,14.0
rf,left_lateral__C,left_lateral,C,4,28,1,0.8928571428571429,0.8928571428571428,0.9744897959183674,0.7429658536819574,13.0,1.0,2.0,12.0
rf,left_lateral__C,left_lateral,C,5,28,1,0.5,0.5,0.6836734693877552,0.8254382583526381,0.0,14.0,0.0,14.0
rf,left_lateral__C,left_lateral,C,6,28,1,0.7857142857142857,0.7857142857142858,0.9183673469387755,0.7339472876191039,13.0,1.0,5.0,9.0
rf,left_lateral__C,left_lateral,C,7,27,1,0.5555555555555556,0.5384615384615384,0.8791208791208791,0.7586675240456061,14.0,0.0,12.0,1.0
rf,left_lateral__C,left_lateral,C,8,25,1,1.0,1.0,1.0,0.7446040782878462,14.0,0.0,0.0,11.0
rf,left_lateral__C,left_lateral,C,9,25,1,0.96,0.9642857142857143,1.0,0.6949688767918372,13.0,1.0,0.0,11.0
rf,left_lateral__C,left_lateral,C,10,24,1,0.6666666666666666,0.6573426573426573,0.5594405594405595,0.7449988947833776,10.0,3.0,5.0,6.0
rf,right_lateral__A,right_lateral,A,1,32,1,0.90625,0.903921568627451,0.9921568627450981,0.6441798941798942,13.0,2.0,1.0,16.0
rf,right_lateral__A,right_lateral,A,2,30,1,0.7333333333333333,0.7142857142857143,0.6205357142857142,0.6891933497536946,6.0,8.0,0.0,16.0
rf,right_lateral__A,right_lateral,A,3,29,1,0.5517241379310345,0.5619047619047619,0.6285714285714286,0.7365266849021441,4.0,11.0,2.0,12.0
rf,right_lateral__A,right_lateral,A,4,28,1,0.6428571428571429,0.6428571428571428,0.7040816326530612,0.7505124995345106,10.0,4.0,6.0,8.0
rf,right_lateral__A,right_lateral,A,5,28,1,0.5,0.5,0.46938775510204084,0.7624784484222424,0.0,14.0,0.0,14.0
rf,right_lateral__A,right_lateral,A,6,28,1,0.6428571428571429,0.6428571428571429,0.8724489795918366,0.7259182965824992,13.0,1.0,9.0,5.0
rf,right_lateral__A,right_lateral,A,7,27,1,0.5185185185185185,0.5,0.8791208791208791,0.7483177166001631,14.0,0.0,13.0,0.0
