estimator,model,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,tn,fp,fn,tp
rf,A_bandpower_epoch,1,32,1,0.875,0.8823529411764706,0.9607843137254902,15.0,0.0,4.0,13.0
rf,A_bandpower_epoch,2,30,1,0.7,0.6785714285714286,0.8080357142857143,5.0,9.0,0.0,16.0
rf,A_bandpower_epoch,3,29,1,0.7586206896551724,0.7642857142857142,0.8238095238095238,9.0,6.0,1.0,13.0
rf,A_bandpower_epoch,4,28,1,0.7142857142857143,0.7142857142857143,0.8367346938775511,14.0,0.0,8.0,6.0
rf,A_bandpower_epoch,5,28,1,0.39285714285714285,0.39285714285714285,0.09693877551020406,11.0,3.0,14.0,0.0
rf,A_bandpower_epoch,6,28,1,0.7142857142857143,0.7142857142857143,1.0,14.0,0.0,8.0,6.0
rf,A_bandpower_epoch,7,27,1,0.5185185185185185,0.5,0.9120879120879121,14.0,0.0,13.0,0.0
rf,A_bandpower_epoch,8,25,1,1.0,1.0,1.0,14.0,0.0,0.0,11.0
rf,A_bandpower_epoch,9,25,1,0.88,0.8928571428571428,0.935064935064935,11.0,3.0,0.0,11.0
rf,A_bandpower_epoch,10,24,1,0.5,0.5314685314685315,0.6573426573426573,2.0,11.0,1.0,10.0
rf,B_wpli_edges_epoch_sliding,1,32,1,0.625,0.6431372549019608,0.5333333333333333,14.0,1.0,11.0,6.0
rf,B_wpli_edges_epoch_sliding,2,30,1,0.3333333333333333,0.3348214285714286,0.32589285714285715,5.0,9.0,11.0,5.0
rf,B_wpli_edges_epoch_sliding,3,29,1,0.2413793103448276,0.23809523809523808,0.29047619047619044,5.0,10.0,12.0,2.0
rf,B_wpli_edges_epoch_sliding,4,28,1,0.6785714285714286,0.6785714285714286,0.8622448979591837,13.0,1.0,8.0,6.0
rf,B_wpli_edges_epoch_sliding,5,28,1,0.32142857142857145,0.32142857142857145,0.32653061224489793,0.0,14.0,5.0,9.0
rf,B_wpli_edges_epoch_sliding,6,28,1,0.35714285714285715,0.35714285714285715,0.24999999999999994,7.0,7.0,11.0,3.0
rf,B_wpli_edges_epoch_sliding,7,27,1,0.4074074074074074,0.4065934065934066,0.4285714285714286,6.0,8.0,8.0,5.0
rf,B_wpli_edges_epoch_sliding,8,25,1,0.44,0.4707792207792208,0.5194805194805195,3.0,11.0,3.0,8.0
rf,B_wpli_edges_epoch_sliding,9,25,1,0.64,0.6493506493506493,0.6428571428571428,8.0,6.0,3.0,8.0
rf,B_wpli_edges_epoch_sliding,10,24,1,0.625,0.6398601398601399,0.7062937062937062,6.0,7.0,2.0,9.0
rf,C_AplusB_epoch_sliding,1,32,1,0.71875,0.723529411764706,0.8352941176470589,12.0,3.0,6.0,11.0
rf,C_AplusB_epoch_sliding,2,30,1,0.6333333333333333,0.6116071428571428,0.7276785714285714,4.0,10.0,1.0,15.0
rf,C_AplusB_epoch_sliding,3,29,1,0.7241379310344828,0.719047619047619,0.8428571428571429,13.0,2.0,6.0,8.0
rf,C_AplusB_epoch_sliding,4,28,1,0.75,0.75,0.9081632653061225,13.0,1.0,6.0,8.0
rf,C_AplusB_epoch_sliding,5,28,1,0.5,0.5,0.7806122448979591,0.0,14.0,0.0,14.0
rf,C_AplusB_epoch_sliding,6,28,1,0.6428571428571429,0.6428571428571429,0.7142857142857143,9.0,5.0,5.0,9.0
rf,C_AplusB_epoch_sliding,7,27,1,0.5555555555555556,0.5384615384615384,0.7967032967032968,14.0,0.0,12.0,1.0
rf,C_AplusB_epoch_sliding,8,25,1,0.8,0.7824675324675325,0.9155844155844155,13.0,1.0,4.0,7.0
rf,C_AplusB_epoch_sliding,9,25,1,0.68,0.6753246753246753,0.8181818181818182,10.0,4.0,4.0,7.0
rf,C_AplusB_epoch_sliding,10,24,1,0.75,0.7692307692307692,0.8601398601398601,7.0,6.0,0.0,11.0
svm,A_bandpower_epoch,1,32,1,0.90625,0.9117647058823529,0.9843137254901961,15.0,0.0,3.0,14.0
svm,A_bandpower_epoch,2,30,1,0.6333333333333333,0.6071428571428571,0.9598214285714286,3.0,11.0,0.0,16.0
svm,A_bandpower_epoch,3,29,1,0.7586206896551724,0.7642857142857142,0.8571428571428572,9.0,6.0,1.0,13.0
svm,A_bandpower_epoch,4,28,1,0.6428571428571429,0.6428571428571428,0.7959183673469388,12.0,2.0,8.0,6.0
svm,A_bandpower_epoch,5,28,1,0.5,0.5,0.33163265306122447,0.0,14.0,0.0,14.0
svm,A_bandpower_epoch,6,28,1,0.5357142857142857,0.5357142857142857,0.7857142857142857,14.0,0.0,13.0,1.0
svm,A_bandpower_epoch,7,27,1,0.5185185185185185,0.5,0.9285714285714286,14.0,0.0,13.0,0.0
svm,A_bandpower_epoch,8,25,1,1.0,1.0,1.0,14.0,0.0,0.0,11.0
svm,A_bandpower_epoch,9,25,1,0.92,0.9090909090909092,1.0,14.0,0.0,2.0,9.0
svm,A_bandpower_epoch,10,24,1,0.8333333333333334,0.8321678321678322,0.8531468531468532,11.0,2.0,2.0,9.0
svm,B_wpli_edges_epoch_sliding,1,32,1,0.46875,0.5,0.8156862745098039,15.0,0.0,17.0,0.0
svm,B_wpli_edges_epoch_sliding,2,30,1,0.5666666666666667,0.5714285714285714,0.6071428571428572,9.0,5.0,8.0,8.0
svm,B_wpli_edges_epoch_sliding,3,29,1,0.4827586206896552,0.5,0.5666666666666667,0.0,15.0,0.0,14.0
svm,B_wpli_edges_epoch_sliding,4,28,1,0.7142857142857143,0.7142857142857143,0.7908163265306122,11.0,3.0,5.0,9.0
svm,B_wpli_edges_epoch_sliding,5,28,1,0.42857142857142855,0.4285714285714286,0.2755102040816326,5.0,9.0,7.0,7.0
