model,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,tn,fp,fn,tp
A_banana_bandpower,1,56,2,0.5714285714285714,0.5714285714285714,0.7806122448979592,6.0,22.0,2.0,26.0
A_banana_bandpower,2,55,2,0.6909090909090909,0.6944444444444444,0.787037037037037,14.0,14.0,3.0,24.0
A_banana_bandpower,3,54,2,0.6481481481481481,0.6310344827586207,0.736551724137931,25.0,4.0,15.0,10.0
A_banana_bandpower,4,56,2,0.5357142857142857,0.5357142857142857,0.6887755102040816,28.0,0.0,26.0,2.0
A_banana_bandpower,5,55,2,0.509090909090909,0.5092592592592593,0.5912698412698413,14.0,14.0,13.0,14.0
B_banana_wpli,1,56,2,0.6071428571428571,0.6071428571428572,0.6581632653061225,14.0,14.0,8.0,20.0
B_banana_wpli,2,55,2,0.509090909090909,0.5079365079365079,0.5502645502645502,16.0,12.0,15.0,12.0
B_banana_wpli,3,54,2,0.5185185185185185,0.5103448275862069,0.52,18.0,11.0,15.0,10.0
B_banana_wpli,4,56,2,0.625,0.625,0.6772959183673468,19.0,9.0,12.0,16.0
B_banana_wpli,5,55,2,0.4727272727272727,0.47023809523809523,0.5211640211640212,17.0,11.0,18.0,9.0
C_banana_A_plus_B,1,56,2,0.5357142857142857,0.5357142857142857,0.6977040816326531,5.0,23.0,3.0,25.0
C_banana_A_plus_B,2,55,2,0.7636363636363637,0.7665343915343915,0.8227513227513228,17.0,11.0,2.0,25.0
C_banana_A_plus_B,3,54,2,0.7592592592592593,0.7427586206896553,0.7889655172413793,28.0,1.0,12.0,13.0
C_banana_A_plus_B,4,56,2,0.5714285714285714,0.5714285714285714,0.6696428571428572,28.0,0.0,24.0,4.0
C_banana_A_plus_B,5,55,2,0.509090909090909,0.5092592592592593,0.6362433862433863,14.0,14.0,13.0,14.0
