model,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,tn,fp,fn,tp,best_score_inner
A_banana_bandpower,1,56,2,0.5714285714285714,0.5714285714285714,0.7742346938775511,6.0,22.0,2.0,26.0,0.6611029009304872
A_banana_bandpower,2,55,2,0.7272727272727273,0.7314814814814814,0.8280423280423281,14.0,14.0,1.0,26.0,0.5444818463783981
A_banana_bandpower,3,54,2,0.7037037037037037,0.6910344827586207,0.76,25.0,4.0,12.0,13.0,0.5816798941798942
A_banana_bandpower,4,56,2,0.5357142857142857,0.5357142857142857,0.6288265306122449,28.0,0.0,26.0,2.0,0.6262584382411969
A_banana_bandpower,5,55,2,0.509090909090909,0.5092592592592593,0.6322751322751323,14.0,14.0,13.0,14.0,0.6748100255427842
B_banana_wpli,1,56,2,0.5714285714285714,0.5714285714285714,0.6428571428571428,12.0,16.0,8.0,20.0,0.4890448823207444
B_banana_wpli,2,55,2,0.4727272727272727,0.4715608465608465,0.5555555555555555,15.0,13.0,16.0,11.0,0.5654625068418172
B_banana_wpli,3,54,2,0.5370370370370371,0.5275862068965518,0.5296551724137931,19.0,10.0,15.0,10.0,0.611276455026455
B_banana_wpli,4,56,2,0.6071428571428571,0.6071428571428572,0.6683673469387756,18.0,10.0,12.0,16.0,0.5528562306148513
B_banana_wpli,5,55,2,0.4909090909090909,0.4887566137566137,0.5238095238095237,17.0,11.0,17.0,10.0,0.6295130906768838
C_banana_A_plus_B,1,56,2,0.5535714285714286,0.5535714285714286,0.6811224489795918,4.0,24.0,1.0,27.0,0.6394086389345011
C_banana_A_plus_B,2,55,2,0.7636363636363637,0.7665343915343915,0.8346560846560847,17.0,11.0,2.0,25.0,0.567948595146871
C_banana_A_plus_B,3,54,2,0.7222222222222222,0.7055172413793103,0.8096551724137931,27.0,2.0,13.0,12.0,0.6086309523809523
C_banana_A_plus_B,4,56,2,0.5357142857142857,0.5357142857142857,0.6683673469387755,28.0,0.0,26.0,2.0,0.6344973544973544
C_banana_A_plus_B,5,55,2,0.509090909090909,0.5092592592592593,0.6415343915343915,14.0,14.0,13.0,14.0,0.682667168399927
