model,subset,feat_type,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,best_score_inner,tn,fp,fn,tp
bis_quatro__A,bis_quatro,A,1,56,2,0.5892857142857143,0.5892857142857143,0.5586734693877551,0.6932133734719942,11.0,17.0,6.0,22.0
bis_quatro__A,bis_quatro,A,2,55,2,0.6363636363636364,0.6369047619047619,0.6917989417989419,0.6520721583652618,17.0,11.0,9.0,18.0
bis_quatro__A,bis_quatro,A,3,54,2,0.7407407407407407,0.7531034482758621,0.856551724137931,0.5444775132275133,17.0,12.0,2.0,23.0
bis_quatro__A,bis_quatro,A,4,56,2,0.6607142857142857,0.6607142857142857,0.7627551020408163,0.59146004378763,12.0,16.0,3.0,25.0
bis_quatro__A,bis_quatro,A,5,55,2,0.5272727272727272,0.5264550264550264,0.6455026455026455,0.6736466885604817,16.0,12.0,14.0,13.0
bis_quatro__B,bis_quatro,B,1,56,2,0.4642857142857143,0.4642857142857143,0.4821428571428571,0.47485951468710086,11.0,17.0,13.0,15.0
bis_quatro__B,bis_quatro,B,2,55,2,0.4909090909090909,0.49007936507936506,0.533068783068783,0.48892469439883235,15.0,13.0,15.0,12.0
bis_quatro__B,bis_quatro,B,3,54,2,0.5185185185185185,0.5131034482758621,0.5020689655172415,0.4548611111111111,17.0,12.0,14.0,11.0
bis_quatro__B,bis_quatro,B,4,56,2,0.39285714285714285,0.3928571428571429,0.3698979591836735,0.5178537219485495,13.0,15.0,19.0,9.0
bis_quatro__B,bis_quatro,B,5,55,2,0.45454545454545453,0.45238095238095233,0.3862433862433863,0.5198896186827221,16.0,12.0,18.0,9.0
bis_quatro__C,bis_quatro,C,1,56,2,0.5714285714285714,0.5714285714285714,0.5676020408163265,0.6881850939609561,11.0,17.0,7.0,21.0
bis_quatro__C,bis_quatro,C,2,55,2,0.5272727272727272,0.5244708994708995,0.6296296296296297,0.6438332421091042,19.0,9.0,17.0,10.0
bis_quatro__C,bis_quatro,C,3,54,2,0.6851851851851852,0.6958620689655173,0.7986206896551724,0.5441468253968254,16.0,13.0,4.0,21.0
bis_quatro__C,bis_quatro,C,4,56,2,0.6964285714285714,0.6964285714285714,0.7321428571428572,0.6274418445539136,13.0,15.0,2.0,26.0
bis_quatro__C,bis_quatro,C,5,55,2,0.509090909090909,0.5092592592592593,0.6335978835978836,0.6753452837073526,14.0,14.0,13.0,14.0
both_lateral__A,both_lateral,A,1,56,2,0.7678571428571429,0.7678571428571428,0.8188775510204083,0.7122393267651889,22.0,6.0,7.0,21.0
both_lateral__A,both_lateral,A,2,55,2,0.8181818181818182,0.8214285714285714,0.8822751322751322,0.6899135650428754,18.0,10.0,0.0,27.0
both_lateral__A,both_lateral,A,3,54,2,0.7962962962962963,0.7965517241379311,0.8372413793103448,0.7121362433862435,23.0,6.0,5.0,20.0
both_lateral__A,both_lateral,A,4,56,2,0.875,0.875,0.9757653061224489,0.6743653074256524,28.0,0.0,7.0,21.0
both_lateral__A,both_lateral,A,5,55,2,0.509090909090909,0.5092592592592593,0.5767195767195767,0.8068165024630541,14.0,14.0,13.0,14.0
both_lateral__B,both_lateral,B,1,56,2,0.35714285714285715,0.35714285714285715,0.37244897959183676,0.5402209906951285,6.0,22.0,14.0,14.0
both_lateral__B,both_lateral,B,2,55,2,0.5272727272727272,0.5264550264550264,0.5423280423280423,0.4679958036854589,16.0,12.0,14.0,13.0
both_lateral__B,both_lateral,B,3,54,2,0.4074074074074074,0.40689655172413797,0.3544827586206896,0.5621693121693122,12.0,17.0,15.0,10.0
both_lateral__B,both_lateral,B,4,56,2,0.5357142857142857,0.5357142857142857,0.4923469387755102,0.41403598795840174,16.0,12.0,14.0,14.0
both_lateral__B,both_lateral,B,5,55,2,0.5636363636363636,0.5588624338624338,0.4285714285714286,0.5113086115672323,23.0,5.0,19.0,8.0
both_lateral__C,both_lateral,C,1,56,2,0.7321428571428571,0.7321428571428572,0.798469387755102,0.6988872924648788,22.0,6.0,9.0,19.0
both_lateral__C,both_lateral,C,2,55,2,0.7818181818181819,0.7843915343915344,0.876984126984127,0.6747639573070607,18.0,10.0,2.0,25.0
both_lateral__C,both_lateral,C,3,54,2,0.7222222222222222,0.7358620689655173,0.7972413793103448,0.7299933862433863,16.0,13.0,2.0,23.0
both_lateral__C,both_lateral,C,4,56,2,0.875,0.875,0.9668367346938775,0.6853074256522533,28.0,0.0,7.0,21.0
both_lateral__C,both_lateral,C,5,55,2,0.509090909090909,0.5092592592592593,0.5701058201058201,0.808731527093596,14.0,14.0,13.0,14.0
left_lateral__A,left_lateral,A,1,56,2,0.7321428571428571,0.7321428571428572,0.729591836734694,0.7120865261813536,23.0,5.0,10.0,18.0
left_lateral__A,left_lateral,A,2,55,2,0.8363636363636363,0.8392857142857143,0.8743386243386244,0.671066639299398,19.0,9.0,0.0,27.0
left_lateral__A,left_lateral,A,3,54,2,0.6851851851851852,0.6627586206896552,0.8027586206896552,0.6936177248677249,28.0,1.0,16.0,9.0
left_lateral__A,left_lateral,A,4,56,2,0.8928571428571429,0.8928571428571428,0.975765306122449,0.6576156267104543,26.0,2.0,4.0,24.0
left_lateral__A,left_lateral,A,5,55,2,0.5272727272727272,0.5277777777777778,0.6243386243386244,0.7892610837438423,14.0,14.0,12.0,15.0
left_lateral__B,left_lateral,B,1,56,2,0.5892857142857143,0.5892857142857143,0.6122448979591837,0.5042499087757708,15.0,13.0,10.0,18.0
left_lateral__B,left_lateral,B,2,55,2,0.43636363636363634,0.43452380952380953,0.5105820105820106,0.5542925561029008,15.0,13.0,18.0,9.0
left_lateral__B,left_lateral,B,3,54,2,0.5,0.4986206896551724,0.5572413793103449,0.5889550264550265,15.0,14.0,13.0,12.0
left_lateral__B,left_lateral,B,4,56,2,0.5,0.5,0.5701530612244898,0.5080763090676884,15.0,13.0,15.0,13.0
left_lateral__B,left_lateral,B,5,55,2,0.4727272727272727,0.4669312169312169,0.4735449735449735,0.5678110746214194,22.0,6.0,23.0,4.0
left_lateral__C,left_lateral,C,1,56,2,0.7321428571428571,0.7321428571428572,0.7831632653061225,0.7372746761539866,23.0,5.0,10.0,18.0
left_lateral__C,left_lateral,C,2,55,2,0.8181818181818182,0.8207671957671958,0.8346560846560847,0.6614370096697683,19.0,9.0,1.0,26.0
left_lateral__C,left_lateral,C,3,54,2,0.7592592592592593,0.756551724137931,0.8524137931034483,0.6992394179894179,23.0,6.0,7.0,18.0
left_lateral__C,left_lateral,C,4,56,2,0.8392857142857143,0.8392857142857143,0.965561224489796,0.6707006020799123,26.0,2.0,7.0,21.0
left_lateral__C,left_lateral,C,5,55,2,0.5272727272727272,0.5277777777777778,0.5925925925925926,0.8044950738916257,14.0,14.0,12.0,15.0
right_lateral__A,right_lateral,A,1,56,2,0.8035714285714286,0.8035714285714286,0.889030612244898,0.6524197226783435,24.0,4.0,7.0,21.0
right_lateral__A,right_lateral,A,2,55,2,0.6363636363636364,0.6388888888888888,0.6931216931216931,0.7013403119868638,14.0,14.0,6.0,21.0
right_lateral__A,right_lateral,A,3,54,2,0.7222222222222222,0.7303448275862069,0.7779310344827586,0.7299933862433863,18.0,11.0,4.0,21.0
right_lateral__A,right_lateral,A,4,56,2,0.8392857142857143,0.8392857142857143,0.9043367346938775,0.6913788542236818,26.0,2.0,7.0,21.0
right_lateral__A,right_lateral,A,5,55,2,0.509090909090909,0.5092592592592593,0.585978835978836,0.8076600985221676,14.0,14.0,13.0,14.0
right_lateral__B,right_lateral,B,1,56,2,0.32142857142857145,0.3214285714285714,0.29209183673469385,0.47844667943805874,8.0,20.0,18.0,10.0
right_lateral__B,right_lateral,B,2,55,2,0.43636363636363634,0.43386243386243384,0.38492063492063494,0.41929324028461956,16.0,12.0,19.0,8.0
right_lateral__B,right_lateral,B,3,54,2,0.3333333333333333,0.3324137931034483,0.32827586206896553,0.4819775132275132,10.0,19.0,17.0,8.0
right_lateral__B,right_lateral,B,4,56,2,0.2857142857142857,0.2857142857142857,0.2219387755102041,0.46750889436234266,10.0,18.0,22.0,6.0
right_lateral__B,right_lateral,B,5,55,2,0.41818181818181815,0.4186507936507936,0.41269841269841273,0.4198686371100164,11.0,17.0,15.0,12.0
right_lateral__C,right_lateral,C,1,56,2,0.8392857142857143,0.8392857142857142,0.8635204081632654,0.643376892902755,24.0,4.0,5.0,23.0
right_lateral__C,right_lateral,C,2,55,2,0.4909090909090909,0.4920634920634921,0.6666666666666667,0.6941103357051632,12.0,16.0,12.0,15.0
right_lateral__C,right_lateral,C,3,54,2,0.6851851851851852,0.6986206896551724,0.7351724137931035,0.6942791005291007,15.0,14.0,3.0,22.0
right_lateral__C,right_lateral,C,4,56,2,0.6785714285714286,0.6785714285714286,0.7665816326530612,0.6886017606276227,21.0,7.0,11.0,17.0
right_lateral__C,right_lateral,C,5,55,2,0.509090909090909,0.5092592592592593,0.5727513227513228,0.8121243842364533,14.0,14.0,13.0,14.0
