model,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,tn,fp,fn,tp
A_bandpower_epoch,1,56,2,0.7142857142857143,0.7142857142857142,0.8456632653061225,17.0,11.0,5.0,23.0
A_bandpower_epoch,2,55,2,0.8181818181818182,0.8214285714285714,0.8134920634920635,18.0,10.0,0.0,27.0
A_bandpower_epoch,3,54,2,0.8703703703703703,0.876551724137931,0.9558620689655173,23.0,6.0,1.0,24.0
A_bandpower_epoch,4,56,2,0.6785714285714286,0.6785714285714286,0.9285714285714286,28.0,0.0,18.0,10.0
A_bandpower_epoch,5,55,2,0.509090909090909,0.5092592592592593,0.537037037037037,14.0,14.0,13.0,14.0
B_wpli_edges_epoch_sliding,1,56,2,0.5357142857142857,0.5357142857142857,0.5522959183673469,20.0,8.0,18.0,10.0
B_wpli_edges_epoch_sliding,2,55,2,0.6,0.5965608465608465,0.5687830687830687,22.0,6.0,16.0,11.0
B_wpli_edges_epoch_sliding,3,54,2,0.5925925925925926,0.6013793103448276,0.6151724137931034,14.0,15.0,7.0,18.0
B_wpli_edges_epoch_sliding,4,56,2,0.4642857142857143,0.4642857142857143,0.44005102040816324,16.0,12.0,18.0,10.0
B_wpli_edges_epoch_sliding,5,55,2,0.34545454545454546,0.3406084656084656,0.2605820105820106,17.0,11.0,25.0,2.0
C_AplusB_epoch_sliding,1,56,2,0.6428571428571429,0.6428571428571428,0.7461734693877551,20.0,8.0,12.0,16.0
C_AplusB_epoch_sliding,2,55,2,0.6363636363636364,0.6369047619047619,0.7023809523809523,17.0,11.0,9.0,18.0
C_AplusB_epoch_sliding,3,54,2,0.7037037037037037,0.6910344827586207,0.7889655172413793,25.0,4.0,12.0,13.0
C_AplusB_epoch_sliding,4,56,2,0.6428571428571429,0.6428571428571428,0.8163265306122449,24.0,4.0,16.0,12.0
C_AplusB_epoch_sliding,5,55,2,0.5272727272727272,0.5277777777777778,0.6018518518518517,14.0,14.0,12.0,15.0
