estimator,model,subset,feat_type,obs_bacc,null_bacc_mean,p_perm_bacc,obs_auc,null_auc_mean,p_perm_auc
rf,both_lateral__A,both_lateral,A,0.7423910403322168,0.49910526510254455,0.001998001998001998,0.7902323132050023,0.49718057959547457,0.01898101898101898
rf,left_lateral__A,left_lateral,A,0.748409335762277,0.4984698381398014,0.006993006993006993,0.8169357043516708,0.49628125185213945,0.000999000999000999
rf,left_lateral__C,left_lateral,C,0.7503507277036688,0.4977401170153376,0.006993006993006993,0.8274230706268522,0.4963574248842894,0.001998001998001998
rf,both_lateral__C,both_lateral,C,0.7005703120409003,0.4993073174986778,0.007992007992007992,0.7926464676779803,0.5001048776066371,0.002997002997002997
rf,right_lateral__A,right_lateral,A,0.6772519637225519,0.5002067324587177,0.016983016983016984,0.7665803751570558,0.4986108924723735,0.04195804195804196
rf,right_lateral__B,right_lateral,B,0.39725338387103093,0.5013048845762081,0.030969030969030968,0.33837035688401235,0.501596478897503,0.005994005994005994
rf,bis_quatro__A,bis_quatro,A,0.641166309181015,0.49801250476239445,0.055944055944055944,0.7417496299218989,0.49748342166761805,0.002997002997002997
rf,right_lateral__C,right_lateral,C,0.6520798931460696,0.5003995287678008,0.057942057942057944,0.7238832508527887,0.4999070952419429,0.07092907092907093
rf,bis_quatro__C,bis_quatro,C,0.5860811370002547,0.49797460572515717,0.24375624375624375,0.6802609767683296,0.4976612549128043,0.0979020979020979
rf,bis_quatro__B,bis_quatro,B,0.4585135330355919,0.4969881878293276,0.32967032967032966,0.46329296054085967,0.4971898421379041,0.5154845154845155
rf,both_lateral__B,both_lateral,B,0.48208742238154,0.5001694175554837,0.7012987012987013,0.43470705939718546,0.5000626313882196,0.2947052947052947
rf,left_lateral__B,left_lateral,B,0.4882292462439521,0.4983784302462244,0.8181818181818182,0.4929372850538817,0.4973170461681176,0.919080919080919
svm,left_lateral__C,left_lateral,C,0.6896472155295685,0.4975276738090341,0.001998001998001998,0.8325573218798009,0.4952591866869126,0.001998001998001998
svm,left_lateral__A,left_lateral,A,0.6587700534759359,0.4974415548789446,0.008991008991008992,0.6829490607431784,0.4972343019323114,0.061938061938061936
svm,both_lateral__C,both_lateral,C,0.649607157548334,0.49929255574082776,0.016983016983016984,0.742059362206421,0.49836428730932925,0.012987012987012988
svm,right_lateral__A,right_lateral,A,0.6478055278055278,0.49939726866270984,0.01998001998001998,0.7630549614950876,0.49784231737800017,0.05094905094905095
svm,both_lateral__A,both_lateral,A,0.6605054749172397,0.5004167990465417,0.024975024975024976,0.7590971843282768,0.49432191572608064,0.04895104895104895
svm,both_lateral__B,both_lateral,B,0.438866341991342,0.49938948167029046,0.025974025974025976,0.41526287962737546,0.49841999342569193,0.14485514485514486
svm,bis_quatro__A,bis_quatro,A,0.6383802472037766,0.4995310692248928,0.04295704295704296,0.7625120502746553,0.49999359533498716,0.03496503496503497
svm,bis_quatro__C,bis_quatro,C,0.5844129522438346,0.49992954614013435,0.27472527472527475,0.6916962799105656,0.49844338438172475,0.07792207792207792
svm,right_lateral__C,right_lateral,C,0.5688344988344988,0.5006904042158822,0.2807192807192807,0.6723346331539608,0.5006644680879344,0.13286713286713286
svm,right_lateral__B,right_lateral,B,0.4769230769230769,0.5008445834680026,0.2977022977022977,0.3150417194849968,0.5013544906529045,0.013986013986013986
svm,left_lateral__B,left_lateral,B,0.47088638077608663,0.4978209865746998,0.5034965034965035,0.5131851149550729,0.49728455773743063,0.8271728271728271
svm,bis_quatro__B,bis_quatro,B,0.5126491523182699,0.49589606999618024,0.7552447552447552,0.5155104524327213,0.4950178022625134,0.7592407592407593
xgb,left_lateral__C,left_lateral,C,0.7159300503418151,0.49731810606060606,0.006993006993006993,0.804835570591873,0.49585339914287385,0.001998001998001998
xgb,both_lateral__C,both_lateral,C,0.6818091712209359,0.500724573429022,0.006993006993006993,0.7687208397344951,0.5026121495696181,0.005994005994005994
xgb,left_lateral__A,left_lateral,A,0.6884092378210025,0.49817896773569564,0.007992007992007992,0.784408597355026,0.4966607453156088,0.000999000999000999
xgb,both_lateral__A,both_lateral,A,0.6713953693365459,0.5007932874478463,0.017982017982017984,0.7698341294559782,0.5004332491213269,0.007992007992007992
xgb,right_lateral__B,right_lateral,B,0.4010617201426025,0.500937493927641,0.03496503496503497,0.346137621132369,0.5017208397607295,0.023976023976023976
xgb,bis_quatro__C,bis_quatro,C,0.6101872392313569,0.4993464647729721,0.07192807192807193,0.708828025965631,0.4984393995482809,0.01998001998001998
xgb,right_lateral__C,right_lateral,C,0.638713002683591,0.5028276428473488,0.08691308691308691,0.714513891220824,0.5033172958571541,0.060939060939060936
xgb,right_lateral__A,right_lateral,A,0.6346603396603396,0.5013432896760103,0.14085914085914086,0.7364826297651927,0.5009722429024057,0.059940059940059943
xgb,bis_quatro__A,bis_quatro,A,0.6045217649997061,0.5005971373112182,0.15984015984015984,0.6619310871201628,0.5015102691408732,0.13586413586413587
xgb,bis_quatro__B,bis_quatro,B,0.4708043794440854,0.496983814788153,0.5144855144855145,0.5047240609530526,0.49659007238035074,0.8501498501498501
xgb,left_lateral__B,left_lateral,B,0.4880664311179017,0.49845163965936023,0.7742257742257742,0.4842946409332963,0.4982113238179887,0.7662337662337663
xgb,both_lateral__B,both_lateral,B,0.49135149164560926,0.5006647177822178,0.8171828171828172,0.4791235130415803,0.5005213690633596,0.7202797202797203
