feature,band,region,between_subj_var,between_subj_std,within_drug_msd,within_drug_std,drug_shared_sq,drug_idio_sq,drug_transfer,residual_var,icc_subject,ratio_between_over_within,log10_ratio,ratio_between_over_shared,log10_ratio_shared
logbp_delta_global,delta,global,0.10932588714493481,0.3306446538883319,0.26168532710913006,0.5115518811510031,0.19792172773189157,0.07084844375248724,0.736397668826351,0.09516955818291484,0.40503553842580353,0.41777614493045345,-0.37905636191637576,0.5523693047611089,-0.2577704632274771
logbp_delta_frontal,delta,frontal,0.08765776399274844,0.2960705388800926,0.2155271238181545,0.46424898903299133,0.16093335864739844,0.060659739078617894,0.7262561889254083,0.10501107112733345,0.35553658469147004,0.4067133752793951,-0.3907115450418861,0.5446836176722071,-0.26385568670879295
logbp_delta_central,delta,central,0.10758401038947729,0.32800001583761745,0.4168642669361802,0.6456502667359321,0.3102756694842091,0.11843177494663444,0.7237468663400762,0.09808036016843923,0.34717909697576144,0.25807923327160537,-0.5882469402000204,0.3467368568343573,-0.4599999920066424
logbp_delta_parietal,delta,parietal,0.17009368990900242,0.41242416261538606,0.2909432458667681,0.5393915515344749,0.19250703700571264,0.10937356540117268,0.6376926356652992,0.1283704500022476,0.4582265953365369,0.5846284192014168,-0.2331200771031692,0.8835712842178923,-0.05375840700201074
logbp_delta_occipital,delta,occipital,0.2714491665047152,0.5210078372776318,0.2983464413936806,0.5462109861524945,0.09153539071846217,0.22979005630579838,0.28486816579847857,0.18666218561263237,0.5095742533878362,0.9098454978573611,-0.04103234957428214,2.9655105459335727,0.472099472807935
logbp_delta_temporal,delta,temporal,0.11512079030046667,0.3392945479969678,0.3174061476554256,0.5633880968350552,0.22753867401579456,0.0998527484884789,0.6950049951663884,0.11156323549563911,0.3761680155112222,0.3626923774175871,-0.4404615717431576,0.5059394443512035,-0.29590146054738264
logbp_theta_global,theta,global,0.5643218612401991,0.751213592289303,0.731928622876562,0.8555282712316187,0.46870338779588244,0.29247248342297727,0.6157622771787798,0.11174529946861415,0.6569143941429669,0.771006685080274,-0.11294185634477917,1.2040063629425994,0.08062878209087351
logbp_theta_frontal,theta,frontal,0.47479106970432583,0.6890508469658286,0.6036740136008218,0.7769646154110378,0.4067561947596937,0.21879757649014234,0.6502337823755069,0.13119477443438246,0.6272801460952317,0.7865024152215602,-0.10429993939061726,1.1672620498961521,0.06716836594094111
logbp_theta_central,theta,central,0.566241635224198,0.7524902891228551,0.6906603499977428,0.8310597752254304,0.47699569395230357,0.23740517338382133,0.6676863309674705,0.11539086414251888,0.6628154450270198,0.8198554256447886,-0.08626272490946878,1.1871000983913105,0.07448734098164791
logbp_theta_parietal,theta,parietal,0.7481130567804428,0.8649352905162575,1.056483894748025,1.0278540240462286,0.6025380446022139,0.5043842779397901,0.544336338992572,0.13195548780973756,0.6538366632713796,0.7081159121296043,-0.14989564643742276,1.241603021553757,0.09398276081047816
logbp_theta_occipital,theta,occipital,0.7106908963256624,0.8430248491744845,1.0285180956694793,1.0141588118581228,0.4753408965023665,0.6146413324079032,0.43609967565908064,0.15470691681153956,0.6331167828753841,0.6909853111163504,-0.1605311847081736,1.4951183488598254,0.17467557140455947
logbp_theta_temporal,theta,temporal,0.6242518455984194,0.7900960989641825,0.7467311112685112,0.8641360490504439,0.43048515056444503,0.35138440078229594,0.5505843651570776,0.12517124728813175,0.666860304090566,0.8359794257629553,-0.07780441082362688,1.4501123785070416,0.16140165980347382
logbp_alpha_global,alpha,global,1.0426908174324057,1.0211223322562315,0.9268236184627815,0.9627167903712812,0.4223818659539827,0.5604908361208873,0.4297421884460661,0.22377777083845912,0.6959742155424328,1.1250153714907214,0.05115845641004094,2.468597497846973,0.39245028445842933
logbp_alpha_frontal,alpha,frontal,1.010873116662275,1.0054218600479479,1.0280496027137063,1.0139278094192437,0.4807692611093876,0.6080892684492425,0.4415351012622607,0.24717380572721195,0.6672168549910715,0.9832921621611697,-0.0073174225929015,2.1026159499622676,0.3227599545485691
logbp_alpha_central,alpha,central,0.8805677225799144,0.9383857003279166,0.6561169499682811,0.8100104628758082,0.35990600448950505,0.3291232727541955,0.5223377530904085,0.20480468088205786,0.7047915527848302,1.3420895811655864,0.12778150488474269,2.4466602712740944,0.3885736699836014
logbp_alpha_parietal,alpha,parietal,1.4481733453894314,1.2034007418102382,1.2535572285802368,1.119623699543841,0.5099143502111525,0.8262698648545383,0.38161979797501344,0.30372780194404253,0.7011959708858878,1.1552510825759899,0.06267638416460829,2.8400325364189327,0.45332331550698896
logbp_alpha_occipital,alpha,occipital,1.1496523278788575,1.072218414260293,1.6161263940340311,1.2712695992723302,0.3547680860690263,1.401509231072228,0.20200003872184097,0.381876216421163,0.5939636296760553,0.7113628810977377,-0.14790880003722764,3.2405742596923783,0.5106219780203392
logbp_alpha_temporal,alpha,temporal,0.8756395077271647,0.9357561155168396,0.5245441574735822,0.7242542077707124,0.2526393541942164,0.30211644808818416,0.45540642054457314,0.18195755348609322,0.7366157359450239,1.6693342119049255,0.22254329405221604,3.4659663792939845,0.5398243456375872
logbp_beta_global,beta,global,0.3321230945049714,0.5763012185523916,0.36044897491611716,0.6003740291819069,0.24040777755754772,0.1333791081761882,0.6431680370085459,0.0724061726805139,0.6714420184649037,0.921415006330205,-0.03554471902784588,1.381498959300881,0.14035056209360514
logbp_beta_frontal,beta,frontal,0.31129250712897416,0.5579359346098566,0.31865515738178796,0.5644954892483978,0.23860891210710852,0.08894027252742155,0.7284674280982045,0.06970955799110273,0.6757446945794225,0.9768946144971088,-0.010152284603631883,1.304613915627486,0.1154820066010005
logbp_beta_central,beta,central,0.4139680745773235,0.6434035083657249,0.4660664175478124,0.68269057232967,0.33051638362978697,0.15061114879780607,0.6869621074508782,0.10220280374679347,0.6543010346964153,0.8882169128479794,-0.05148096153093164,1.252488817739694,0.09777385716153877
logbp_beta_parietal,beta,parietal,0.36210767569897656,0.601753833140244,0.5445934016348409,0.7379657184685756,0.30281173488035357,0.268646296393875,0.5298932175379855,0.09576457752215355,0.6095877373381839,0.6649138138862559,-0.17723464428991612,1.1958178431917643,0.07766502938343574
logbp_beta_occipital,beta,occipital,0.39244203827774055,0.6264519441088363,0.5797055052973474,0.7613839407929139,0.15271314825868793,0.47443595226517704,0.24350373480705204,0.09339034463709855,0.6221745358734391,0.6769679340474245,-0.1694319020623792,2.569798624087003,0.4098990922517741
logbp_beta_temporal,beta,temporal,0.3389336034176449,0.5821800438160388,0.2160452113264299,0.4648066386428123,0.07576043575314872,0.15587197285920126,0.32707182991656,0.07093342449507493,0.7306519424474963,1.5688086828454162,0.195569984344975,4.4737546721289085,0.650672164950169
