band,edge_within_band,ch_a,ch_b,between_subj_var,between_subj_std,within_drug_msd,within_drug_std,drug_shared_sq,drug_idio_sq,drug_transfer,residual_var,icc_subject,ratio_between_over_within,log10_ratio,ratio_between_over_shared,log10_ratio_shared,classifier_importance,edge_label
alpha,184,O1,PO7,0.016785907446571238,0.12956043935774236,0.04599143678120175,0.21445614185935957,0.002915092956290074,0.04786260424990187,0.05740892392964193,0.06650225438453634,0.17709264789050036,0.3649789748048755,-0.4377321530482513,5.7582751879637275,0.7602924159707422,0.0004696109166609,O1-PO7
alpha,126,Oz,PO7,0.012446959287674591,0.11156594143229641,0.04932842408863232,0.22210003171686474,0.001072610131242796,0.05361757106376615,0.019612480847312874,0.06633847694093764,0.1366033255530371,0.2523283384252823,-0.5980339721118272,11.60436482326376,1.0646213738913752,0.0004628320876238,Oz-PO7
alpha,295,PO4,POz,0.010606623493806611,0.1029884629160306,0.046917290904979286,0.21660399558867627,0.006191822801637184,0.045250520114824555,0.12036432344405164,0.06250136896800215,0.12502309237739986,0.2260706722189467,-0.6457557743181097,1.7130050119149245,0.2337586336273968,0.0004603700917962,PO4-POz
alpha,63,O2,PO8,0.02231390125155079,0.14937838281207488,0.0628980100159969,0.2507947567553933,0.00021858432630824737,0.06964380632187628,0.0031287839462275655,0.04937987147449255,0.2552544212618175,0.3547632309117715,-0.4500613985348413,102.08371993699143,2.0089564873828936,0.0004317077301521,O2-PO8
alpha,547,P8,FC3,0.004620728822384124,0.06797594296796569,0.020956539209196854,0.14476373582219013,0.0027365684668963866,0.020244411935889408,0.11907970934284315,0.0704039492904433,0.05756926633014832,0.22049102554756794,-0.6566090825430254,1.6885120458674656,0.22750416324511075,0.0004296245166527,P8-FC3
alpha,121,Oz,O1,0.00833022453345749,0.09127006373098186,0.055824004551239446,0.23627104044135297,0.001191093368117553,0.0607032346479132,0.019243982546992246,0.06277089114026628,0.0979368316929351,0.14922298391657238,-0.8261642799505946,6.993762831228853,0.8447109006590955,0.000415214430375,Oz-O1
alpha,786,P1,FT8,0.0034498479762174847,0.05873540649572015,0.01536113300893778,0.12394003795762602,0.0005739308561639367,0.016430224614193155,0.033752388181271534,0.05872481756059343,0.0522585874790523,0.2245829115590386,-0.6486232921438098,6.010912173750009,0.7789403824796152,0.0004099698008431,P1-FT8
alpha,403,POz,Fp2,0.01000283318405591,0.10001416491705517,0.03553632216793228,0.18851080119699318,0.0010995589917954973,0.03826307019570753,0.027934084040215856,0.06298077553610244,0.12218291824539845,0.2814819478646249,-0.550549452301701,9.097131895238201,0.9589044913974695,0.0004029037912783,POz-Fp2
alpha,383,POz,FC6,0.007499285726454343,0.08659841642001512,0.03339391930237821,0.18274003201919992,0.0016350612034087136,0.0352876201099661,0.04428338206229211,0.058585371932861244,0.10075197660416609,0.22457039733265746,-0.6486474926088021,4.58654740644177,0.6614858867239529,0.0004012471903332,POz-FC6
alpha,404,POz,Fpz,0.008073121378722039,0.08985055024162089,0.0435103269279757,0.20859129159189677,0.0014558426046389903,0.046727204803707456,0.030214830379462237,0.06107720019078125,0.10087883157837277,0.18554494871758237,-0.7315508644029993,5.545325674253522,0.7439270571358215,0.0003960167908409,POz-Fpz
alpha,277,PO8,FC3,0.004370332861712584,0.06610849311331021,0.004388606888209664,0.06624656133120922,0.0021207947872587127,0.0025197912232788355,0.45701012371841315,0.06582250511049512,0.06130359788878549,0.9958360299843645,-0.0018121647242280697,2.060705206325438,0.31401586833274026,0.0003941580356646,PO8-FC3
alpha,492,PO7,FC2,0.006162000231851069,0.0784984091039498,0.010902146584004336,0.10441334485593466,0.0006539479363522843,0.01138688738628006,0.05431084461962466,0.05692621983480044,0.09362784529615575,0.5652098129304889,-0.24779030672339497,9.42276881673468,0.9741785360350641,0.0003936357978503,PO7-FC2
alpha,122,Oz,PO8,0.01922868380596825,0.1386675297463983,0.06162417830349778,0.24824217672163967,1.0052549077437724e-05,0.06846013972713372,0.00014681642833334793,0.048555252755554876,0.23114182192456478,0.3120314839892121,-0.5058015834400812,1912.8165149980946,3.2816733127634996,0.0003935257732214,Oz-PO8
alpha,354,POz,P6,0.012916966993239513,0.11365283539463286,0.04675376466412408,0.21622618866391757,0.00515139700884082,0.04622485295031473,0.10026806185418254,0.06227155493741932,0.14868115243466273,0.27627651133032527,-0.5586560366660169,2.50746874460733,0.39923552828102377,0.000391350437001,POz-P6
alpha,299,PO4,P6,0.010414039009420971,0.10204919896511178,0.050380855372231415,0.22445680068162652,0.0012680370038215061,0.05456979818712212,0.022709279460111673,0.061706988916982314,0.12292848209391494,0.20670627626846935,-0.684646336592927,8.21272484148591,0.9144872725014707,0.0003910917286697,PO4-P6
alpha,405,POz,Fp1,0.010213353727068364,0.10106113856012292,0.04200544036130243,0.20495228801187468,0.0022985548750759283,0.04411876165136278,0.049519339915248685,0.0596576805023846,0.12707539464896836,0.2431435937577811,-0.6141371685481877,4.443380418441219,0.647713496800916,0.0003902237445658,POz-Fp1
