estimator,montage,feat_type,sensitivity,sens_sd,specificity,spec_sd,balanced_accuracy,n_folds
Random forest,full_62ch,A,0.6459511077158135,0.4039093502038344,0.7682417582417582,0.30622423627657724,0.7070964329787859,10.0
Random forest,full_62ch,B,0.47513552623846744,0.23644427781130964,0.47282051282051285,0.28974432553353036,0.47397801952949015,10.0
Random forest,full_62ch,C,0.6719923458894048,0.2716237772923899,0.6705128205128206,0.3188119179996593,0.6712525832011126,10.0
SVM (RBF),full_62ch,A,0.6888464476699772,0.38340141290180957,0.7517582417582417,0.36593624759641086,0.7203023447141094,10.0
SVM (RBF),full_62ch,B,0.614035964035964,0.2906805904236673,0.45384615384615384,0.30221667162756244,0.5339410589410589,10.0
SVM (RBF),full_62ch,C,0.6610275753658107,0.12850100790678737,0.5167032967032967,0.2408684925865719,0.5888654360345538,10.0
XGBoost,full_62ch,A,0.717379679144385,0.393338467115096,0.7081684981684981,0.4137328017860469,0.7127740886564417,10.0
XGBoost,full_62ch,B,0.507116780278545,0.2425314948161076,0.532014652014652,0.2412705333343181,0.5195657161465984,10.0
XGBoost,full_62ch,C,0.645450872656755,0.24223127405953176,0.659010989010989,0.3267481601814195,0.652230930833872,10.0
Random forest,bis_quatro,A,0.7079736440030557,0.33082337689768915,0.5743589743589743,0.3496758628878978,0.6411663091810151,10.0
Random forest,bis_quatro,B,0.40808933713345474,0.14711510068106481,0.508937728937729,0.09256706522839837,0.4585135330355919,10.0
Random forest,bis_quatro,C,0.5983527501909855,0.39422795553150114,0.5738095238095238,0.3740192516498132,0.5860811370002545,10.0
Random forest,both_lateral,A,0.7745989304812834,0.3265184556105053,0.7101831501831503,0.3350066815289467,0.7423910403322168,10.0
Random forest,both_lateral,B,0.4232590938473292,0.17380441480026607,0.540915750915751,0.2074267298420203,0.48208742238154006,10.0
Random forest,both_lateral,C,0.7519098548510313,0.3441910176971942,0.6492307692307693,0.3750096175596699,0.7005703120409004,10.0
Random forest,left_lateral,A,0.7328259975318799,0.3615193631992367,0.763992673992674,0.2967646444162129,0.748409335762277,10.0
Random forest,left_lateral,B,0.4348467708761826,0.19785276493155196,0.5416117216117217,0.1438791490165352,0.4882292462439521,10.0
Random forest,left_lateral,C,0.7828259975318799,0.30212239548268277,0.7178754578754579,0.34377981834779775,0.7503507277036688,10.0
Random forest,right_lateral,A,0.6999618029029793,0.3417530722632538,0.6545421245421246,0.33538325204605557,0.6772519637225518,10.0
Random forest,right_lateral,B,0.3345433977786919,0.18624286532933224,0.45996336996337,0.1454642509062499,0.39725338387103093,10.0
Random forest,right_lateral,C,0.7073099694423223,0.347865845149975,0.5968498168498169,0.4035100060397154,0.6520798931460695,10.0
SVM (RBF),bis_quatro,A,0.6549656226126814,0.3366315672051009,0.6217948717948718,0.3319902656699256,0.6383802472037767,10.0
SVM (RBF),bis_quatro,B,0.5389246782629136,0.14960253803743492,0.4863736263736264,0.1674887746534293,0.5126491523182699,10.0
SVM (RBF),bis_quatro,C,0.7219394576012224,0.31689236844682117,0.4468864468864469,0.41247709203788857,0.5844129522438346,10.0
SVM (RBF),both_lateral,A,0.6433919022154316,0.3612001011304183,0.6776190476190476,0.32414431805398314,0.6605054749172397,10.0
SVM (RBF),both_lateral,B,0.2872564935064935,0.32532997897780264,0.5904761904761904,0.3856848901203159,0.438866341991342,10.0
SVM (RBF),both_lateral,C,0.6965769524593053,0.3533161131239181,0.6026373626373627,0.4018159672495079,0.649607157548334,10.0
SVM (RBF),left_lateral,A,0.6363313157430804,0.38016933961786536,0.6812087912087911,0.31222527077106194,0.6587700534759359,10.0
SVM (RBF),left_lateral,C,0.7315654933301993,0.3177667167912803,0.6477289377289377,0.35336918898407593,0.6896472155295685,10.0
SVM (RBF),right_lateral,A,0.6733766233766233,0.3824749433963529,0.6222344322344322,0.3689002180963665,0.6478055278055278,10.0
SVM (RBF),right_lateral,B,0.4,0.5163977794943223,0.5538461538461539,0.4969333967333597,0.4769230769230769,10.0
SVM (RBF),right_lateral,C,0.6396103896103896,0.4103573014114483,0.4980586080586081,0.32133184731723985,0.5688344988344988,10.0
XGBoost,bis_quatro,A,0.6442083651642475,0.37322389604991113,0.5648351648351648,0.3292143547686741,0.6045217649997062,10.0
XGBoost,bis_quatro,B,0.48171864899806077,0.18695843478654292,0.4598901098901099,0.17552173910788368,0.4708043794440854,10.0
XGBoost,bis_quatro,C,0.6698250279132633,0.30303873060407244,0.5505494505494506,0.3383662940128395,0.6101872392313569,10.0
XGBoost,both_lateral,A,0.6707028265851795,0.38467544609727794,0.6720879120879121,0.29879253576825776,0.6713953693365458,10.0
XGBoost,both_lateral,B,0.43504730563554095,0.1716269797786043,0.5476556776556777,0.15146631615991693,0.49135149164560926,10.0
XGBoost,both_lateral,C,0.7453399541634835,0.3093294136116074,0.6182783882783884,0.3184169136904154,0.6818091712209359,10.0
XGBoost,left_lateral,A,0.6640712228947523,0.370422221114985,0.7127472527472528,0.329179927386007,0.6884092378210025,10.0
XGBoost,left_lateral,B,0.4288068549097961,0.16709569792151835,0.5473260073260073,0.12879841791405794,0.4880664311179016,10.0
XGBoost,left_lateral,C,0.6744608332843627,0.3720619170187085,0.7573992673992674,0.31836543506897874,0.7159300503418151,10.0
XGBoost,right_lateral,A,0.6298701298701299,0.3590986719894457,0.6394505494505495,0.31277394974762596,0.6346603396603397,10.0
XGBoost,right_lateral,B,0.3857131838749486,0.19336656385174741,0.41641025641025636,0.18385463221761308,0.4010617201426025,10.0
XGBoost,right_lateral,C,0.6528838808250572,0.31010600275331546,0.6245421245421245,0.341108714073231,0.638713002683591,10.0
