estimator,subset,feat_type,bacc_mean,bacc_sd,auc_mean,auc_sd,p_perm_bacc,p_perm_auc
Random forest,bis_quatro,A,0.6411663091810151,0.18089164359568313,0.7417496299218989,0.21301117342705161,0.0559440559440559,0.0029970029970029
Random forest,bis_quatro,B,0.4585135330355919,0.05961958923590534,0.46329296054085967,0.11553351414978208,0.3296703296703296,0.5154845154845155
Random forest,bis_quatro,C,0.5860811370002545,0.19002777815622524,0.6802609767683298,0.2165288070354177,0.2437562437562437,0.0979020979020979
Random forest,both_lateral,A,0.7423910403322168,0.17082630037504837,0.7902323132050023,0.23385148004352735,0.0019980019980019,0.0189810189810189
Random forest,both_lateral,B,0.48208742238154006,0.07232066629783815,0.43470705939718546,0.087595262714784,0.7012987012987013,0.2947052947052947
Random forest,both_lateral,C,0.7005703120409004,0.17571657663836654,0.7926464676779803,0.17937187799441168,0.0079920079920079,0.0029970029970029
Random forest,left_lateral,A,0.748409335762277,0.19185674813707138,0.8169357043516706,0.15496108803517375,0.0069930069930069,0.0009990009990009
Random forest,left_lateral,B,0.4882292462439521,0.09645279669937816,0.4929372850538817,0.10844631597146799,0.8181818181818182,0.919080919080919
Random forest,left_lateral,C,0.7503507277036688,0.16827642452337038,0.8274230706268522,0.15188944024335724,0.0069930069930069,0.0019980019980019
Random forest,right_lateral,A,0.6772519637225518,0.14945973636008153,0.7665803751570557,0.1976811133750318,0.0169830169830169,0.0419580419580419
Random forest,right_lateral,B,0.39725338387103093,0.06901811155484844,0.3383703568840123,0.08705817043636112,0.0309690309690309,0.0059940059940059
Random forest,right_lateral,C,0.6520798931460695,0.1640594233571335,0.7238832508527886,0.20686268805593122,0.0579420579420579,0.0709290709290709
SVM (RBF),bis_quatro,A,0.6383802472037767,0.1849498109713328,0.7625120502746553,0.19293620058646288,0.0429570429570429,0.0349650349650349
SVM (RBF),bis_quatro,B,0.5126491523182699,0.10916973557562822,0.5155104524327213,0.13434601690480855,0.7552447552447552,0.7592407592407593
SVM (RBF),bis_quatro,C,0.5844129522438346,0.2152952929822729,0.6916962799105656,0.26900710825641205,0.2747252747252747,0.0779220779220779
SVM (RBF),both_lateral,A,0.6605054749172397,0.15367300680852905,0.7590971843282768,0.23031745991042613,0.0249750249750249,0.0489510489510489
SVM (RBF),both_lateral,B,0.438866341991342,0.06559200425994462,0.41526287962737535,0.10418634619543818,0.0259740259740259,0.1448551448551448
SVM (RBF),both_lateral,C,0.649607157548334,0.16692298418281237,0.7420593622064209,0.19757677573799823,0.0169830169830169,0.0129870129870129
SVM (RBF),left_lateral,A,0.6587700534759359,0.19152935732816934,0.6829490607431784,0.23254690453444826,0.0089910089910089,0.0619380619380619
SVM (RBF),left_lateral,B,0.47088638077608663,0.10532198103482761,0.513185114955073,0.14809352150182578,0.5034965034965035,0.8271728271728271
SVM (RBF),left_lateral,C,0.6896472155295685,0.15629572768297123,0.8325573218798009,0.10701624185075428,0.0019980019980019,0.0019980019980019
SVM (RBF),right_lateral,A,0.6478055278055278,0.16196225315657864,0.7630549614950876,0.20213928872114204,0.0199800199800199,0.0509490509490509
SVM (RBF),right_lateral,B,0.4769230769230769,0.072975638311578,0.3150417194849967,0.1473228721739994,0.2977022977022977,0.0139860139860139
SVM (RBF),right_lateral,C,0.5688344988344988,0.17360380682081067,0.6723346331539608,0.24640716056542916,0.2807192807192807,0.1328671328671328
XGBoost,bis_quatro,A,0.6045217649997062,0.2102577280411961,0.6619310871201627,0.27245649347982787,0.1598401598401598,0.1358641358641358
XGBoost,bis_quatro,B,0.4708043794440854,0.08705841044758139,0.5047240609530526,0.1245858462160077,0.5144855144855145,0.8501498501498501
XGBoost,bis_quatro,C,0.6101872392313569,0.15783163501170513,0.708828025965631,0.20788459832428635,0.0719280719280719,0.0199800199800199
XGBoost,both_lateral,A,0.6713953693365458,0.16751821735704653,0.7698341294559783,0.2033964678607392,0.0179820179820179,0.0079920079920079
XGBoost,both_lateral,B,0.49135149164560926,0.062375176807777245,0.4791235130415802,0.07917527225211891,0.8171828171828172,0.7202797202797203
XGBoost,both_lateral,C,0.6818091712209359,0.1578112613376188,0.7687208397344951,0.18614854217239485,0.0069930069930069,0.0059940059940059
XGBoost,left_lateral,A,0.6884092378210025,0.186629861999006,0.7844085973550259,0.16993973331329892,0.0079920079920079,0.0009990009990009
XGBoost,left_lateral,B,0.4880664311179016,0.09118549958556366,0.4842946409332963,0.13190106229081022,0.7742257742257742,0.7662337662337663
XGBoost,left_lateral,C,0.7159300503418151,0.1768603758336986,0.804835570591873,0.16288811509118875,0.0069930069930069,0.0019980019980019
XGBoost,right_lateral,A,0.6346603396603397,0.13623643199699742,0.7364826297651927,0.17529465153374407,0.1408591408591408,0.0599400599400599
XGBoost,right_lateral,B,0.4010617201426025,0.08330497147895384,0.346137621132369,0.11459149353787051,0.0349650349650349,0.0239760239760239
XGBoost,right_lateral,C,0.638713002683591,0.16114854123366662,0.7145138912208239,0.2073441257889702,0.0869130869130869,0.0609390609390609
